question,context,initial_answer,answer,retrieve_time_sec,generate_time_sec
"According to IEEE Standard 729 terminology, what is a fault?","
[0]
for example, a fault may occur when a variable is not initialized.A fault of commission is one that is incorrect; for example, the variable is initialized to the wrong value.

One of the key features of orthogonal defect classification is its orthogonality. That is, a  classification  scheme  is orthogonal if  any  item  being  classified  belongs  to exactly one category. In other words, we want to track the faults in our system in an unambiguous way, so that the summary information about the number of faults in each class is meaningful.We lose the meaning of the measurements if a fault might belong to more than one class. In the same way, the fault classification must be clear, so that any two developers are likely to classify a particular fault in the same way.

TABLE 8.1, 1 = IBMOrthogonal Defect Classification. FaultType, 1 = Meaning. Function, 1 = Fault that affects capability, end-user interfaces, product interfaces, interface with hardware architecture, or global data structure. Interface, 1 = Fault in interacting with other components or drivers via calls, macros, control blocks, or parameter lists. Checking, 1 = Fault in program logic that fails to validate data and values properly before they are used. Assignment, 1 = Fault in data structure or code block initialization. Timing/serialization, 1 = Fault that involves timing of shared and real-time resources. Build/package/merge, 1 = Fault that occurs because of problems in repositories,management changes, or version control. Documentation, 1 = Fault that affects publications and maintenance notes. Algorithm, 1 = Fault involving efficiency or correctness of algorithm or data structure but not design

## SIDEBAR 8.1 HEWLETT-PACKARD'S FAULT CLASSIFICATION

G rady  (1997)  describes  Hewlett-Packard's  approach  to  fault  classification. In  1986, Hewlett-Packard's Software Metrics Council identified several categories in which to track faults. The scheme grew to be the one depicted in Figure 8.1. The developers use this model by selecting three descriptors for each fault found: the origin of the fault (i.e., where the fault was injected in a


[1]
function, but not exactly as expected.We all have heard stories of systems that just barely work.And we all have written faulty programs: code that contains mistakes, but is good enough for a passing grade or for demonstrating the feasibility of an approach. Clearly, such behavior is not acceptable when developing a system for delivery to a customer.

There is an enormous difference between an error in a class project and one in a large software system. In fact, software faults and the difficulty in producing fault-free software are frequently discussed in the literature  and  in  the  hallways. Some  faults are merely annoying; others cost a great deal of time and money. Still others are lifethreatening. Sidebar 1.1 explains the relationships among faults, errors, and failures. Let us look at a few examples of failures to see what is going wrong and why.

## SIDEBAR 1.1 TERMINOLOGY FOR DESCRIBING BUGS

O ften, we talk about 'bugs'in software,meaning many things that depend on the context.A 'bug' can be a mistake in interpreting a requirement, a syntax error in a piece of code, or the (as-yet-unknown) cause of a system crash. The Institute of Electrical and Electronics Engineers (IEEE) has suggested a standard terminology (in IEEE Standard 729) for describing 'bugs' in our software products (IEEE 1983).

A fault occurs when a human makes a mistake, called an error , in performing some software activity. For example, a designer may misunderstand a requirement and create a design that does not match the actual intent of the requirements analyst and the user.This design fault is an encoding of the error, and it can lead to other faults, such as incorrect code and an incorrect description in a user manual.Thus, a single error can generate many faults, and a fault can reside in any development or maintenance product.

A failure is a departure from the system's required behavior. It can be discovered before or after system delivery, during testing, or during operation and maintenance. As we will see in Chapter 4, the requirements documents can contain faults. So a failure may indicate that the system is n


[2]
ossible to replicate a fault after it has occurred.

Throughput or performance faults occur when the system does not perform at the speed prescribed by the requirements. These are timing problems of a different sort: Time constraints are placed on the system's performance by the customer's requirements rather than by the need for coordination.

As we saw during design and programming, we take great care to ensure that the system can recover from a variety of failures. Recovery faults can occur when a failure is encountered and the system does not behave as the designers desire or as the customer requires. For example, if a power failure occurs during system processing, the system should recover in an acceptable manner, such as restoring all files to their state just prior to the failure. For some systems, such recovery may mean that the system will continue full processing by using a backup power source; for others, this recovery means that the system keeps a log of transactions, allowing it to continue processing whenever power is restored.

For many systems, some of the hardware and related system software are prescribed in the requirements, and the components are designed according to the specifications of the reused or purchased programs. For example, if a prescribed modem is used for communications, the modem driver generates the commands expected by the modem and reads commands received from the modem. However, hardware and system software faults can arise when the supplied hardware and system software do not actually work according to the documented operating conditions and procedures.

Finally, the code should be reviewed to confirm that organizational standards and procedures have been followed. Standards and procedure faults may not always affect the running of the programs, but they may foster an environment where faults are created as the system is tested and modified. By failing to follow the required standards, one programmer may make it difficult for another to understand the code's logic or to find the data descriptions needed for solving a problem.

## Orthogonal Defect Classificati
","[
    {
        ""role"": ""sentence"",
        ""segment"": ""According to IEEE Standard 729 terminology, a fault occurs when a human makes a mistake, called an error, in performing some software activity."",
        ""citations"": [
            {
                ""type"": ""source_text"",
                ""content"": ""A fault occurs when a human makes a mistake, called an error , in performing some software activity."",
                ""img_id"": null
            }
        ]
    }
]","According to IEEE Standard 729 terminology, a fault occurs when a human makes a mistake, called an error, in performing some software activity.",1.199,2.781
"According to IEEE Standard 729 terminology, what is a failure?","
[0]
function, but not exactly as expected.We all have heard stories of systems that just barely work.And we all have written faulty programs: code that contains mistakes, but is good enough for a passing grade or for demonstrating the feasibility of an approach. Clearly, such behavior is not acceptable when developing a system for delivery to a customer.

There is an enormous difference between an error in a class project and one in a large software system. In fact, software faults and the difficulty in producing fault-free software are frequently discussed in the literature  and  in  the  hallways. Some  faults are merely annoying; others cost a great deal of time and money. Still others are lifethreatening. Sidebar 1.1 explains the relationships among faults, errors, and failures. Let us look at a few examples of failures to see what is going wrong and why.

## SIDEBAR 1.1 TERMINOLOGY FOR DESCRIBING BUGS

O ften, we talk about 'bugs'in software,meaning many things that depend on the context.A 'bug' can be a mistake in interpreting a requirement, a syntax error in a piece of code, or the (as-yet-unknown) cause of a system crash. The Institute of Electrical and Electronics Engineers (IEEE) has suggested a standard terminology (in IEEE Standard 729) for describing 'bugs' in our software products (IEEE 1983).

A fault occurs when a human makes a mistake, called an error , in performing some software activity. For example, a designer may misunderstand a requirement and create a design that does not match the actual intent of the requirements analyst and the user.This design fault is an encoding of the error, and it can lead to other faults, such as incorrect code and an incorrect description in a user manual.Thus, a single error can generate many faults, and a fault can reside in any development or maintenance product.

A failure is a departure from the system's required behavior. It can be discovered before or after system delivery, during testing, or during operation and maintenance. As we will see in Chapter 4, the requirements documents can contain faults. So a failure may indicate that the system is n


[1]
re is a departure from the system's required behavior. It can be discovered before or after system delivery, during testing, or during operation and maintenance. As we will see in Chapter 4, the requirements documents can contain faults. So a failure may indicate that the system is not performing as required, even though it may be performing as specified.

Thus, a  fault  is  an  inside  view  of  the  system, as  seen  by  the  eyes  of  the  developers, whereas a failure is an outside view: a problem that the user sees. Not every fault corresponds to a failure; for example, if faulty code is never executed or a particular state is never entered, then the fault will never cause the code to fail. Figure 1.4 shows the genesis of a failure.

FIGURE 1.4 How human error causes a failure.

In the early 1980s, the United States Internal Revenue Service (IRS) hired Sperry Corporation to build an automated federal income tax form processing system.According to the Washington Post, the 'system . . . proved inadequate to the workload, cost nearly twice what was expected and must be replaced soon' (Sawyer 1985). In 1985, an extra $90 million was needed to enhance the original $103 million worth of Sperry equipment.In addition, because the problem prevented the IRS from returning refunds to taxpayers by the deadline, the IRS was forced to pay $40.2 million in interest and $22.3 million in overtime wages for its employees who were trying to catch up. In 1996, the situation had not improved.The Los Angeles Times reported on March 29 that there was still no master plan for the modernization of IRS computers,only a 6000-page technical document. Congressman Jim Lightfoot called the project 'a $4-billion fiasco that is floundering because of inadequate planning' (Vartabedian 1996).

Situations such as these still occur. In the United States, the Federal Bureau of Investigation's (FBI's) Trilogy project attempted to upgrade the FBI's computer systems. The results were devastating:'After more than four years of hard work and half a billion dollars spent, however, Trilogy has had little impact on the FBI's antiquated ca


[2]
nsider failures that might be affected by design, operation, or even maintenance. We can use a set of guidewords to help us understand how the system might deviate from its intended behavior. Table 5.1 illustrates some of the guidewords  that  might  be  used; you  can  select  your  own  guidewords  or  checklists, based on your system's application domain.

Next, we build an upside-down tree whose root node is some failure that we want to analyze, and whose other nodes are events or faults that realize or lead to the root node's failure. The edges of the graph indicate the relationships among nodes. Parent nodes are drawn as logic gate operators: an and -gate if both of the child nodes' events must occur for the parent node's event to occur; an orgate if one child's event is sufficient to cause the parent's event. Sometimes, an edge is labeled n_of_m if the system

TABLE 5.1, 1 = Guidewords for Identifying Possible Failures. Guideword, 1 = Interpretation. no more less part of other than early late before after, 1 = No data or control signal was sent or received The volume of data is too much or too fast The volume of data is too low or too slow The data or control signal is incomplete The data or control signal has another component The signal arrives too early for the clock The signal arrives too late for the clock The signal arrives too early in the expected sequence The signal arrives too late in the expected sequence

FIGURE 5.11 Fault tree for a security breach.

includes m redundant components, where n faulty components lead to the designated failure. Each node represents an independent event; otherwise, the analysis results may be invalid, especially with respect to compound faults.

For example, consider the fault tree presented in Figure 5.11.The tree shows that a security breach could occur either if a previous logout is not recognized (leaving the previous user logged in) or an unauthorized user gains access to the system. For the latter to happen, both of two basic events must happen: a valid user's password is exposed, and the password is not changed between the time of the exposure a
","[
    {
        ""role"": ""paragraph"",
        ""segment"": ""According to IEEE Standard 729 terminology, a failure is a departure from the system's required behavior."",
        ""citations"": [
            {
                ""type"": ""source_text"",
                ""content"": ""A failure is a departure from the system's required behavior."",
                ""img_id"": null
            }
        ]
    },
    {
        ""role"": ""sentence"",
        ""segment"": ""It can be discovered before or after system delivery, during testing, or during operation and maintenance."",
        ""citations"": [
            {
                ""type"": ""source_text"",
                ""content"": ""It can be discovered before or after system delivery, during testing, or during operation and maintenance."",
                ""img_id"": null
            }
        ]
    },
    {
        ""role"": ""sentence"",
        ""segment"": ""A failure may indicate that the system is not performing as required, even though it may be performing as specified."",
        ""citations"": [
            {
                ""type"": ""source_text"",
                ""content"": ""So a failure may indicate that the system is not performing as required, even though it may be performing as specified."",
                ""img_id"": null
            }
        ]
    },
    {
        ""role"": ""sentence"",
        ""segment"": ""It is an outside view: a problem that the user sees."",
        ""citations"": [
            {
                ""type"": ""source_text"",
                ""content"": ""Thus, a fault is an inside view of the system, as seen by the eyes of the developers, whereas a failure is an outside view: a problem that the user sees."",
                ""img_id"": null
            }
        ]
    }
]","According to IEEE Standard 729 terminology, a failure is a departure from the system's required behavior.

It can be discovered before or after system delivery, during testing, or during operation and maintenance. A failure may indicate that the system is not performing as required, even though it may be performing as specified. It is an outside view: a problem that the user sees.",0.349,5.508
"In Garvin's five perspectives on quality, what does the manufacturing view examine?","
[0]
are from bad.

## SIDEBAR 1.2 PERSPECTIVES ON QUALITY

G arvin (1984) discusses about how different people perceive quality. He describes quality from five different perspectives:

- the transcendental view , where quality is something we can recognize but not define
- the user view , where quality is fitness for purpose
- the manufacturing view , where quality is conformance to specification
- the product view , where quality is tied to inherent product characteristics
- the value-based view , where quality depends on the amount the customer is willing to pay for it

The transcendental view is much like Plato's description of the ideal or Aristotle's concept of form. In other words, just as every actual table is an approximation of an ideal table, we can think of software quality as an ideal toward which we strive; however, we may never be able to implement it completely.

The transcendental view is ethereal, in contrast to the more concrete view of the user. We take a user view when we measure product characteristics, such as defect density or reliability, in order to understand the overall product quality.

The manufacturing view looks at quality during production and after delivery. In particular, it examines whether the product was built right the first time, avoiding costly rework to fix delivered faults. Thus, the manufacturing view is a process view, advocating conformance to good process. However, there is little evidence that conformance to process actually results in products with fewer faults and failures; process may indeed lead to high-quality products, but it may possibly institutionalize the production of mediocre products.We examine some of these issues in Chapter 12.

The user and manufacturing views look at the product from the outside, but the product view peers inside and evaluates a product's inherent characteristics.This view is the one often advocated by software metrics experts; they assume that good internal quality indicators will lead to good external ones, such as reliability and maintainability. However, more research is

needed to verify these assumptions and to determ


[1]
nt characteristics.This view is the one often advocated by software metrics experts; they assume that good internal quality indicators will lead to good external ones, such as reliability and maintainability. However, more research is

needed to verify these assumptions and to determine which aspects of quality affect the product's actual use.We may have to develop models that link the product view to the user view.

Customers or marketers often take a user view of quality. Researchers sometimes hold a product view, and the development team has a manufacturing view. If the differences in viewpoints are not made explicit, then confusion and misunderstanding can lead to bad decisions and  poor  products. The  value-based  view  can  link  these  disparate  pictures  of  quality. By equating quality to what the customer is willing to pay, we can look at trade-offs between cost and  quality, and  we  can  manage  conflicts  when  they  arise. Similarly, purchasers  compare product costs with potential benefits, thinking of quality as value for money.

Kitchenham and Pfleeger (1996) investigated the answer to this question in their introduction to a special issue of IEEE Software on quality. They note that the context helps to determine the answer. Faults tolerated in word processing software may not be acceptable in safety-critical or mission-critical systems. Thus, we must consider quality in at least three ways: the quality of the product, the quality of the process that results in the product, and the quality of the product in the context of the business environment in which the product will be used.

## The Quality of the Product

We can ask people to name the characteristics of software that contribute to its overall quality, but we are likely to get different answers from each person we ask. This difference occurs because the importance of the characteristics depends on who is analyzing the software. Users judge software to be of high quality if it does what they want in a way that is easy to learn and easy to use. However, sometimes quality and functionality are intertwined; if something is hard


[2]
an

FIGURE 1.5 McCall's quality model.

element of quality was addressed (McCall, Richards, and Walters 1977).We will examine several product quality models in Chapter 12.

## The Quality of the Process

There are many activities that affect the ultimate product quality; if any of the activities go awry, the product quality may suffer. For this reason, many software engineers feel that the quality of the development and maintenance process is as important as product quality. One of the advantages of modeling the process is that we can examine it and look for ways to improve it. For example, we can ask questions such as:

- Where and when are we likely to find a particular kind of fault?
- How can we find faults earlier in the development process?
- How can we build in fault tolerance so that we minimize the likelihood that a fault will become a failure?
- How can we design secure, high-quality systems?
- Are there alternative activities that can make our process more effective or efficient at ensuring quality?

These questions can be applied to the whole development process or to a subprocess, such as configuration management, reuse, or testing; we will investigate these processes in later chapters.

In the 1990s, there was a well-publicized focus on process modeling and process improvement  in  software  engineering. Inspired  by  the  work  of  Deming  and  Juran, and implemented by companies such as IBM, process guidelines such as the Capability

Maturity Model (CMM), ISO 9000, and Software Process Improvement and Capability dEtermination (SPICE) suggested that by improving the software development process, we can improve the quality of the resulting products.In Chapter 2,we will see how to identify relevant process activities and model their effects on intermediate and final products. Chapters 12 and 13 will examine process models and improvement frameworks in depth.

## Quality in the Context of the Business Environment

When the focus of quality assessment is on products and processes, we usually measure quality with mathematical expressions involving faults, failures, and timing. Rarely is t
","[
    {
        ""role"": ""sentence"",
        ""segment"": ""In Garvin's five perspectives on quality, the manufacturing view examines whether the product was built right the first time, avoiding costly rework to fix delivered faults."",
        ""citations"": [
            {
                ""type"": ""source_text"",
                ""content"": ""The manufacturing view looks at quality during production and after delivery. In particular, it examines whether the product was built right the first time, avoiding costly rework to fix delivered faults."",
                ""img_id"": null
            }
        ]
    },
    {
        ""role"": ""sentence"",
        ""segment"": ""Thus, the manufacturing view is a process view, advocating conformance to good process."",
        ""citations"": [
            {
                ""type"": ""source_text"",
                ""content"": ""Thus, the manufacturing view is a process view, advocating conformance to good process."",
                ""img_id"": null
            }
        ]
    }
]","In Garvin's five perspectives on quality, the manufacturing view examines whether the product was built right the first time, avoiding costly rework to fix delivered faults. Thus, the manufacturing view is a process view, advocating conformance to good process.",0.513,4.866
What are the three categories into which participants in a software project usually fall?,"
[0]
ing  on  software  development  depends  on  the project's  size  and  degree  of  difficulty. However, no  matter  how  many  people  are involved, the roles played throughout the life of the project can be distinguished.Thus, for a large project, one person or a group may be assigned to each of the roles identified; on a small project, one person or group may take on several roles at once.

Usually, the participants in a project fall into one of three categories: customer, user, or developer.The customer is the company, organization, or person who is paying for the software system to be developed.The developer is the company, organization, or person who is building the software system for the customer.This category includes any

FIGURE 1.7 Participants in software development.

managers needed to coordinate and guide the programmers and testers.The user is the person or people who will actually use the system: the ones who sit at the terminal or submit the data or read the output. Although for some projects the customer, user, and developer are the same person or group,often these are different sets of people.Figure 1.7 shows the basic relationships among the three types of participants.

The customer, being in control of the funds, usually negotiates the contract and signs  the  acceptance  papers. However, sometimes  the  customer  is  not  a  user. For example, suppose Wittenberg Water Works signs a contract with Gentle Systems, Inc., to build a computerized accounting system for the company. The president of Wittenberg may describe to the representatives of Gentle Systems exactly what is needed, and she will sign the contract. However, the president will not use the accounting system directly; the users will be the bookkeepers and accounting clerks.Thus,it is important that the developers understand exactly what both the customer and users want and need.

On the other hand, suppose Wittenberg Water Works is so large that it has its own computer systems development division.The division may decide that it needs an automated tool to keep track of its own project costs and schedules. By building


[1]
include facts or figures rather than judgments or feelings. Thus, work styles affect interactions among customers, developers, and users.

Work styles can also involve choice of worker for a given task.For instance,intuitive employees may prefer design and development (requiring new ideas) to maintenance programming and design (requiring attention to detail and analysis of complex results).

## Project Organization

Software development and maintenance project teams do not consist of people working independently or without coordination. Instead, team members are organized in ways that  enhance the swift completion of quality products. The choice of an appropriate structure for your project depends on several things:

- the backgrounds and work styles of the team members
- the number of people on the team
- the management styles of the customers and developers

Good project managers are aware of these issues, and they seek team members who are flexible enough to interact with all players, regardless of work style.

One popular organizational structure is the chief programmer team, first used at IBM (Baker 1972).On a chief programmer team , one person is totally responsible for a system's design and development. All other team members report to the chief programmer, who has the final say on every decision.The chief programmer supervises all others, designs all programs, and assigns the code development to the other team members. Assisting the chief is an understudy, whose principal job is substituting for the chief programmer when necessary. A librarian assists the team, responsible for maintaining all project documentation. The librarian also compiles and links the code, and performs preliminary testing of all modules submitted to the library. This division of labor allows the programmers to focus on what they do best: programming.

The organization of the chief programmer team is illustrated in Figure 3.11. By placing all responsibility for all decisions with the chief programmer, the team structure minimizes the amount of communication needed during the project.Each team member must communicate of


[2]
people are needed but no one is assigned. In April and May, some team members are working, but not enough to do the required job. On the other hand, the period during which there are too many team members is clearly shown: from the beginning of June to the end of September. The resource allocation for this project is clearly out of balance. By changing the graph's input data, you can change the resource allocation and try to reduce the overload, finding the best resource load for the schedule you have to meet.

Later  in  this  chapter, we  will  see  how  to  estimate  the  costs  of  development. Project  management  tools  track  actual  costs  against  the  estimates, so  that  budget progress can be assessed, too. Figure 3.8 shows an example of how expenditures can be

FIGURE 3.8 Tracking planned vs. actual expenditures.

monitored. By combining budget tracking with personnel tracking, you can use project management tools to determine the best resources for your limited budget.

## 3.2 PROJECT PERSONNEL

To determine the project schedule and estimate the associated effort and costs, we need to know approximately how many people will be working on the project, what tasks they will perform, and what abilities and experience they must have so they can do their jobs effectively. In this section, we look at how to decide who does what and how the staff can be organized.

## Staff Roles and Characteristics

In Chapter 2, we examined several software process models, each depicting the way in which the several activities of software development are related. No matter the model, there  are  certain  activities  necessary  to  any  software  project. For  example, every project requires people to interact with the customers to determine what they want and by when they want it. Other project personnel design the system, and still others write or test the programs. Key project activities are likely to include

1. requirements analysis
2. system design
3. program design
4. program implementation
5. testing
6. training
7. maintenance
8. quality assurance

However, not every task is performed by the same per
","[
    {
        ""role"": ""sentence"",
        ""segment"": ""Usually, the participants in a project fall into one of three categories: customer, user, or developer."",
        ""citations"": [
            {
                ""type"": ""source_text"",
                ""content"": ""Usually, the participants in a project fall into one of three categories: customer, user, or developer."",
                ""img_id"": null
            }
        ]
    }
]","Usually, the participants in a project fall into one of three categories: customer, user, or developer.",0.228,1.872
What is the purpose of McCall’s quality model?,"
[0]
an

FIGURE 1.5 McCall's quality model.

element of quality was addressed (McCall, Richards, and Walters 1977).We will examine several product quality models in Chapter 12.

## The Quality of the Process

There are many activities that affect the ultimate product quality; if any of the activities go awry, the product quality may suffer. For this reason, many software engineers feel that the quality of the development and maintenance process is as important as product quality. One of the advantages of modeling the process is that we can examine it and look for ways to improve it. For example, we can ask questions such as:

- Where and when are we likely to find a particular kind of fault?
- How can we find faults earlier in the development process?
- How can we build in fault tolerance so that we minimize the likelihood that a fault will become a failure?
- How can we design secure, high-quality systems?
- Are there alternative activities that can make our process more effective or efficient at ensuring quality?

These questions can be applied to the whole development process or to a subprocess, such as configuration management, reuse, or testing; we will investigate these processes in later chapters.

In the 1990s, there was a well-publicized focus on process modeling and process improvement  in  software  engineering. Inspired  by  the  work  of  Deming  and  Juran, and implemented by companies such as IBM, process guidelines such as the Capability

Maturity Model (CMM), ISO 9000, and Software Process Improvement and Capability dEtermination (SPICE) suggested that by improving the software development process, we can improve the quality of the resulting products.In Chapter 2,we will see how to identify relevant process activities and model their effects on intermediate and final products. Chapters 12 and 13 will examine process models and improvement frameworks in depth.

## Quality in the Context of the Business Environment

When the focus of quality assessment is on products and processes, we usually measure quality with mathematical expressions involving faults, failures, and timing. Rarely is t


[1]
use the importance of the characteristics depends on who is analyzing the software. Users judge software to be of high quality if it does what they want in a way that is easy to learn and easy to use. However, sometimes quality and functionality are intertwined; if something is hard to learn or use but its functionality is worth the trouble, then it is still considered to have high quality.

We try  to  measure  software  quality  so  that  we  can  compare  one  product  with another. To do so, we identify those aspects of the system that contribute to its overall quality. Thus, when measuring software quality, users assess such external characteristics as the number of failures and type of failures. For example, they may define failures as minor,major,and catastrophic,and hope that any failures that occur are only minor ones.

The software must also be judged by those who are designing and writing the code and by those who must maintain the programs after they are written.These practitioners tend to look at internal characteristics of the products, sometimes even before the product is delivered to the user. In particular, practitioners often look at numbers and types of faults for evidence of a product's quality (or lack of it). For example, developers track the number of faults found in requirements, design, and code inspections and use them as indicators of the likely quality of the final product.

For this reason, we often build models to relate the user's external view to the developer's internal view of the software. Figure 1.5 is an example of an early quality model built by McCall and his colleagues to show how external quality factors (on the left-hand side) relate to product quality criteria (on the right-hand side). McCall associated each right-hand criterion with a measurement to indicate the degree to which an

FIGURE 1.5 McCall's quality model.

element of quality was addressed (McCall, Richards, and Walters 1977).We will examine several product quality models in Chapter 12.

## The Quality of the Process

There are many activities that affect the ultimate product quality; if any of t


[2]
rrelation between modularity and development costs, modularity may not be the only factor determining development cost. It is tempting to measure what is available and easy to measure, but as scientists, we must build models and capture complex relationships.

Courtney and Gustafson (1993) present a compelling statistical reason why we must be wary of the correlation approach. Unstructured correlation studies can identify spurious associations. For example, with a 0.05 significance level, we can expect a significant but spurious correlation 1 in 20 times by chance. So if we have 5 independent variables and look at the 10 possible pairwise correlations between them, there is a 0.5 probability of getting a spurious correlation! In situations like this, with no hypothesis about the reason for a relationship, we have no real confidence that the relationship is not spurious.

## 12.4 EVALUATING PRODUCTS

We have seen that software development produces a large number of artifacts: requirements, designs, code components, test cases, test scripts, user guides, cross-references, and more.In each case, we can examine a product to determine if it has desirable attributes.That is, we can ask whether a document, file, or system has certain properties, such as completeness, consistency, reliability, or maintainability. And we can use the notions of quality, such as the McCall model introduced in Chapter 1, to provide a framework for our questions.

## Product Quality Models

There are several quality models that suggest ways to tie together different quality attributes. Each model helps us to understand how the several facets contribute to the whole. Often, we narrow our focus and think only about faults and failures; these models show us that quality is much broader.When we evaluate the quality of development products, we must see this bigger picture.

Boehm's Model. There are many software quality models, and Boehm and colleagues have constructed one of the best-known, shown in Figure 12.2. It is similar to McCall's in that it presents a hierarchy of characteristics, each of which contributes to overall quality
","[
    {
        ""role"": ""paragraph"",
        ""segment"": ""The purpose of McCall's quality model is to relate the user's external view of software quality to the developer's internal view by associating external quality factors with product quality criteria and measurements."",
        ""citations"": [
            {
                ""type"": ""source_text"",
                ""content"": ""For this reason, we often build models to relate the user's external view to the developer's internal view of the software. Figure 1.5 is an example of an early quality model built by McCall and his colleagues to show how external quality factors (on the left-hand side) relate to product quality criteria (on the right-hand side). McCall associated each right-hand criterion with a measurement to indicate the degree to which an element of quality was addressed (McCall, Richards, and Walters 1977)."",
                ""img_id"": null
            }
        ],
        ""type"": null
    }
]",The purpose of McCall's quality model is to relate the user's external view of software quality to the developer's internal view by associating external quality factors with product quality criteria and measurements.,0.385,3.072
"What does a software engineer focus on, as opposed to investigating hardware design or proving algorithms?","
[0]
scope than computer science. At its core, computer science focuses on data, data transformation, and algorithms; advanced courses present designs and programming techniques for specific  application  domains. In  contrast, software  engineering  focuses  on building software products. It looks at all the activities involved in developing a software

system from initial idea to final product. Moreover, software engineering design concepts tend  to  focus  on  general-purpose  design  principles, patterns, and  criteria; advanced courses present design and analysis techniques that scale to large software systems.

Although it is tempting to try to classify software engineering as just another branch of engineering, this 'natural' mapping has a fatal flaw: whereas most engineers produce physical artifacts that are deployed in the real world and obey physical laws, software engineers produce software artifacts that are deployed on computers (which are artificial  worlds)  and  obey  the  laws  and  limits  of  computing. Most  noticeably, a physical artifact has continuous behavior, which means that we can test the product in one situation and extrapolate how it will behave in related situations. Software artifacts cannot  exhibit  continuous  behavior, which  means  that  similar  inputs  may  result  in wildly  different  output  values. Also, software  is  implemented  using  discrete-valued variables, and  the  imprecision  introduced  by  such  variables  can  accumulate  in  long computations.'Off by one' errors in other engineering disciplines are inconsequential, but such errors in software are disastrous. Thus, many of the traditional modeling and evaluation techniques in the engineer's standard toolkit are inappropriate for software. Software's flexibility and malleability belie its complexity; even small changes can have large effects, so design and testing are often far more difficult than in other engineering domains.

A software engineering undergraduate education cannot be completely comprehensive, because there are more courses needed than are possible in a four-year curriculum. Ideally,


[1]
at it is fit for use
- Consideration of nonfunctional properties, such as performance, maintainability, usability, economy, and time-to-market, that often determine whether a software product is acceptable

A traditional engineering education also includes a solid foundation in mathematics and science and an exposure to other engineering disciplines. Engineers use mathematics to model and analyze their designs. A science background is important because engineers must understand how to react to and control the physical world. Exposure to other engineering disciplines helps an engineer to understand and work more effectively with engineers from other disciplines, and to build components that interoperate better with other engineered components.

Software  engineering  courses  build  on  these  foundations  in  computing  and engineering, and introduce the concepts that we cover in this book, including requirements elicitation, software design principles, technical documentation, project management, testing, and verification. In addition, a software engineering curriculum is likely to  include  nontechnical  courses  in  communications, humanities, and  social  sciences. Software engineering projects tend to involve large numbers of people, so software engineers need to understand the dynamics of group interaction to know how to motivate individuals to pursue a common goal. They need to consider the impact of their technology on users and on society as a whole, and they may need to make decisions that take human and social values into account. They may also have to interact with specialists  from  other  disciplines  who  have  varied  levels  of  software  expertise. This work calls for strong communication, business, and reasoning skills.

As such, software engineering is more general, is more applied, and has a broader scope than computer science. At its core, computer science focuses on data, data transformation, and algorithms; advanced courses present designs and programming techniques for specific  application  domains. In  contrast, software  engineering  focuses  on building software products


[2]
ges, and there may be situations when one is more appropriate than another.

Software engineers use tools, techniques, procedures, and paradigms to enhance the  quality  of  their  software  products. Their  aim  is  to  use  efficient  and  productive approaches to generate effective solutions to problems. In the chapters that follow, we will  highlight particular approaches that support the development and maintenance activities we describe. An up-to-date set of pointers to tools and techniques is listed in this book's associated home page on the World Wide Web.

## Where Does the Software Engineer Fit In?

To understand how a software engineer fits into the computer science world, let us look to another discipline for an example. Consider the study of chemistry and its use to solve problems. The chemist investigates chemicals: their structure, their interactions, and  the  theory  behind  their  behavior. Chemical  engineers  apply  the  results  of  the chemist's studies to a variety of problems. Chemistry as viewed by chemists is the object of study. On the other hand, for a chemical engineer, chemistry is a tool to be used to address a general problem (which may not even be 'chemical' in nature).

We can view computing in a similar light. We can concentrate on the computers and programming languages, or we can view them as tools to be used in designing and implementing a solution to a problem. Software engineering takes the latter view, as shown in  Figure  1.3. Instead  of  investigating  hardware  design  or  proving  theorems about how algorithms work,a software engineer focuses on the computer as a problemsolving tool. We will see later in this chapter that a software engineer works with the

FIGURE 1.3 The relationship between computer science and software engineering.

functions of a computer as part of a general solution, rather than with the structure or theory of the computer itself.

## 1.2 HOW SUCCESSFUL HAVE WE BEEN?

Writing software is an art as well as a science, and it is important for you as a student of computer science to understand why. Computer scientists and software engi
","[
    {
        ""role"": ""sentence"",
        ""segment"": ""A software engineer focuses on the computer as a problem-solving tool, working with the functions of a computer as part of a general solution"",
        ""citations"": [
            {
                ""type"": ""source_text"",
                ""content"": ""Instead of investigating hardware design or proving theorems about how algorithms work, a software engineer focuses on the computer as a problem-solving tool. We will see later in this chapter that a software engineer works with the functions of a computer as part of a general solution"",
                ""img_id"": null
            }
        ]
    }
]","A software engineer focuses on the computer as a problem-solving tool, working with the functions of a computer as part of a general solution",0.222,2.033
