question,context,answer,retrieve_time_sec,generate_time_sec
What is software engineering and how does it fit into computer science?,"
[0]
[SECTION]: Why Software Engineering? > 1.1 What Is Software Engineering? > Where Does the Software Engineer Fit In?
[CONTENT]: To understand how a software engineer fits into the computer science world, let us look to another discipline for an example. Consider the study of chemistry and its use to solve problems. The chemist investigates chemicals: their structure, their interactions, and  the  theory  behind  their  behavior. Chemical  engineers  apply  the  results  of  the chemist's studies to a variety of problems. Chemistry as viewed by chemists is the object of study. On the other hand, for a chemical engineer, chemistry is a tool to be used to address a general problem (which may not even be 'chemical' in nature).
We can view computing in a similar light. We can concentrate on the computers and programming languages, or we can view them as tools to be used in designing and implementing a solution to a problem. Software engineering takes the latter view, as shown in  Figure  1.3. Instead  of  investigating  hardware  design  or  proving  theorems about how algorithms work,a software engineer focuses on the computer as a problemsolving tool. We will see later in this chapter that a software engineer works with the functions of a computer as part of a general solution, rather than with the structure or theory of the computer itself.


[1]
[SECTION]: Why Software Engineering? > 1.2 How Successful Have We Been?
[CONTENT]: Writing software is an art as well as a science, and it is important for you as a student of computer science to understand why. Computer scientists and software engineering researchers study computer mechanisms and theorize about how to make them more productive or efficient. However, they also design computer systems and write programs to perform tasks on those systems, a practice that involves a great deal of art, ingenuity, and skill. There may be many ways to perform a particular task on a particular system, but some are better than others. One way may be more efficient, more precise, easier to modify, easier to use, or easier to understand. Any hacker can write code to make something work, but it takes the skill and understanding of a professional software engineer to produce code that is robust, easy to understand and maintain, and does its job in the most efficient and effective way possible. Consequently, software engineering is about designing and developing high-quality software.
Before we examine what is needed to produce quality software systems,let us look back to see how successful we have been. Are users happy with their existing software systems? Yes and no. Software has enabled us to perform tasks more quickly and effectively than ever before. Consider life before word processing, spreadsheets, electronic mail, or sophisticated telephony, for example.And software has supported life-sustaining or life-saving advances in medicine, agriculture, transportation, and most other industries. In addition, software has enabled us to do things that were never imagined in the past: microsurgery, multimedia education, robotics, and more.
However, software is not without its problems. Often systems function, but not exactly as expected.We all have heard stories of systems that just barely work.And we all have written faulty programs: code that contains mistakes, but is good enough for a passing grade or for demonstrating the feasibility of an approach. Clearly, such behavior is not acceptable when developing a system for delivery to a customer.


[2]
[SECTION]: Why Software Engineering? > 1.1 What Is Software Engineering?
[CONTENT]: As software engineers, we use our knowledge of computers and computing to help solve problems. Often the problem with which we are dealing is related to a computer or an existing computer system, but sometimes the difficulties underlying the problem have nothing to do with computers.Therefore, it is essential that we first understand the nature of the problem. In particular, we must be very careful not to impose computing machinery or techniques on every problem that comes our way. We must solve the problem first. Then, if need be, we can use technology as a tool to implement our solution. For the remainder of this book, we assume that our analysis has shown that some kind of computer system is necessary or desirable to solve a particular problem at hand.


[3]
[SECTION]: The Future of Software Engineering > 14.4 The Professionalization Of Software Engineering: Licensing, Certification, And Ethics > Software Engineering Education
[CONTENT]: Historically, software engineering has been considered a relatively small aspect of computer science. At best, a university computer science curriculum included a course on software  engineering, usually  offered  in  the  junior  or  senior  year. At  the  least, it included several lectures on the meaning and intent of software engineering. With the increasing emphasis on software quality and security, and with the recent push to professionalize software developers, universities have increasingly viewed software engineering as a distinct academic discipline. There are now many ways in which a student can navigate through a university curriculum and end up with a software engineering education:
 - Specializing in software engineering as part of a computer science major
 - Specializing in software engineering as part of a computer engineering major
 - Specializing in software engineering as part of an engineering major
 - Majoring in software engineering as a separate degree from computer science or computer engineering As Table 14.6 shows, a software engineering program borrows from both computer science and engineering curricula. Computer science courses provide the technical  knowledge  and  expertise  needed  to  create  and  manipulate  software  artifacts: programming  principles; data  structures; algorithm  paradigms; programming  languages; grammars, parsing, and translation; concurrency and control structures; and the theoretical limits of computing. In addition, computer science and computer engineering courses cover key system components (e.g., computer architecture, operating system, middleware, networks)  and  key  software  components  (e.g., databases, user interfaces), and how the design and implementation of these components can affect the performance, usability, and quality of our software.


[4]
[SECTION]: Why Software Engineering? > 1.1 What Is Software Engineering? > Where Does the Software Engineer Fit In?
[CONTENT]: [FIGURE 1.3 The relationship between computer science and software engineering.] 
[FIGURE_DESCRIPTIONS]
[0] A flowchart illustrating the relationship between computer science, customer, and software engineering. The chart starts with three hexagons labeled 'Theories' under 'COMPUTER SCIENCE', 'Computer Functions' under 'COMPUTER SCIENCE', and 'Problem' under 'CUSTOMER'. Arrows from these hexagons point downward to a rectangular box labeled 'SOFTWARE ENGINEERING'. Below this box, an arrow points to a hexagon labeled 'Tools and Techniques to Solve Problem'. The diagram shows how theories and computer functions from computer science, combined with customer problems, feed into software engineering, which then applies tools and techniques to solve the problem.



[5]
[SECTION]: Why Software Engineering? > 1.9 Information Systems Example
[CONTENT]: In  later  chapters, we  will  make  visible  the  activities  and  elements  inside  the shaded oval (i.e., within the system boundary). We will examine the design and development of this system using the software engineering techniques that are described in each chapter.
","Software engineering is the discipline that uses knowledge of computers and computing to solve problems by designing and implementing software solutions. Unlike computer science, which focuses on theories, computer functions, and the study of computing mechanisms, software engineering views computers as tools to address general problems, often beyond just computing itself. A software engineer focuses on using tools and techniques to solve problems effectively, rather than investigating the underlying hardware or theoretical aspects of computers.

In the context of computer science, software engineering fits as the practical application side, where computer functions and theories are used as tools to create solutions for customers' problems. It bridges the gap between computer science theories and real-world problem-solving by applying these theories and computer functions to develop high-quality software systems. This relationship is illustrated by software engineering taking inputs from both computer science (theories and computer functions) and customer problems to produce tools and techniques that solve those problems.",2.586,3.237
What is the difference between technical and business quality? Explain why each is important.,"
[0]
[SECTION]: Why Software Engineering? > 1.3 What Is Good Software? > Quality in the Context of the Business Environment
[CONTENT]: When the focus of quality assessment is on products and processes, we usually measure quality with mathematical expressions involving faults, failures, and timing. Rarely is the scope broadened to include a business perspective, where quality is viewed in terms of the products and services being provided by the business in which the software is embedded. That is, we look at the technical value of our products, rather than more broadly at their business value, and we make decisions based only on the resulting products' technical quality. In other words, we assume that improving technical quality will automatically translate into business value.
Several researchers have taken a close look at the relationships between business value and technical value. For example, Simmons interviewed many Australian businesses  to  determine  how  they  make  their  information  technology-related  business decisions. She  proposes  a  framework  for  understanding  what  companies  mean  by 'business value' (Simmons 1996). In a report by Favaro and Pfleeger (1997), Steve Andriole, chief information officer for Cigna Corporation, a large U.S. insurance company, described how his company distinguishes technical value from business value:


[1]
[SECTION]: Evaluating Products, Processes, and Resources > 12.6 Evaluating Resources
[CONTENT]: Many researchers believe that the quality of our resources is a far more important factor  in  product  quality  than  any  technological  breakthroughs  we  may  make. For example, DeMarco and Lister (1987) discuss evidence that creativity, uninterrupted time, and good communication are necessary; they argue that cohesive teams build good products.
Similarly, Boehm's  COCOMO  models  (1981, 1995)  include  parameters  that adjust effort and schedule estimates based on staff attributes such as experience. His original research revealed that differences between high- and low-performance teams had  the  largest  influence  on  project  productivity. Thus, researchers  argue  that  we should focus more on people and less on technology.
At the same time, software is usually built in a business environment. We are given resources such as time and money and asked to solve a business or societal problem.We must be able to evaluate whether we are using the appropriate levels of each. In this section, we examine two frameworks for evaluating these kinds of resources: a people maturity model for staff and a return-on-investment model for time and money.


[2]
[SECTION]: Why Software Engineering? > 1.3 What Is Good Software? > The Quality of the Product
[CONTENT]: We can ask people to name the characteristics of software that contribute to its overall quality, but we are likely to get different answers from each person we ask. This difference occurs because the importance of the characteristics depends on who is analyzing the software. Users judge software to be of high quality if it does what they want in a way that is easy to learn and easy to use. However, sometimes quality and functionality are intertwined; if something is hard to learn or use but its functionality is worth the trouble, then it is still considered to have high quality.
We try  to  measure  software  quality  so  that  we  can  compare  one  product  with another. To do so, we identify those aspects of the system that contribute to its overall quality. Thus, when measuring software quality, users assess such external characteristics as the number of failures and type of failures. For example, they may define failures as minor,major,and catastrophic,and hope that any failures that occur are only minor ones.
The software must also be judged by those who are designing and writing the code and by those who must maintain the programs after they are written.These practitioners tend to look at internal characteristics of the products, sometimes even before the product is delivered to the user. In particular, practitioners often look at numbers and types of faults for evidence of a product's quality (or lack of it). For example, developers track the number of faults found in requirements, design, and code inspections and use them as indicators of the likely quality of the final product.
For this reason, we often build models to relate the user's external view to the developer's internal view of the software. Figure 1.5 is an example of an early quality model built by McCall and his colleagues to show how external quality factors (on the left-hand side) relate to product quality criteria (on the right-hand side). McCall associated each right-hand criterion with a measurement to indicate the degree to which an element of quality was addressed (McCall, Richards, and Walters 1977).We will examine several product quality models in Chapter 12.


[3]
[SECTION]: Why Software Engineering? > 1.3 What Is Good Software? > Quality in the Context of the Business Environment
[CONTENT]: The difference in views is disturbing, because it means that calculations of ROI cannot be compared across organizations. But there are good reasons for these differing views. Dollar savings from reduced schedule, higher quality, and increased productivity are returned to the government rather than the contractor. On the other hand, contractors are usually looking for a competitive edge and increased work capacity as well as greater profit; thus, the contractor's ROI is more effort- than cost-based. In particular, more accurate cost and schedule estimation can mean customer satisfaction and repeat business.And decreased time to market as well as improved product quality are perceived as offering business value, too.
[FIGURE 1.6 Terms included in industry definition of return on investment.] 
[FIGURE_DESCRIPTIONS]
[0] Horizontal bar chart showing the distribution of interviewees' responses regarding costs and efforts in software engineering. The x-axis represents the percent of interviewees from 0% to 70%, and the y-axis lists categories under two main groups: Dollars and Effort. Under Dollars, categories include Facilities, Software costs, Hardware costs, Materials, and General. Under Effort, categories include Assessments, SCE costs, Internal R&D, Process, Documentation, Quality group, Software process group, and General. The longest bar is for General under Effort, reaching nearly 65%. Software costs under Dollars and Process under Effort also have significant percentages, around 30%. Other categories have lower percentages, mostly below 20%.



[4]
[SECTION]: Why Software Engineering? > 1.3 What Is Good Software? > Quality in the Context of the Business Environment
[CONTENT]: Even though the different ROI calculations can be justified for each organization, it is worrying that software technology return on investment is not the same as financial ROI. At some point, program success must be reported to higher levels of management, many of which are related not to software but to the main company business, such as telecommunications or banking. Much confusion will result from the use of the same terminology to mean vastly different things.Thus, our success criteria must make sense not only for software projects and processes, but also for the more general business practices they support.We will examine this issue in more detail in Chapter 12 and look at using several common measures of business value to choose among technology options.


[5]
[SECTION]: Why Software Engineering? > 1.3 What Is Good Software? > The Quality of the Product
[CONTENT]: [FIGURE 1.5 McCall's quality model.] 
[FIGURE_DESCRIPTIONS]
[0] Diagram showing relationships between software quality attributes and their sub-characteristics. Attributes on the left include Correctness, Reliability, Efficiency, Integrity, Usability, Maintainability, Testability, Flexibility, Portability, Reusability, and Interoperability. Each attribute is connected by arrows to multiple sub-characteristics on the right. Sub-characteristics include Traceability, Completeness, Consistency, Accuracy, Error tolerance, Execution efficiency, Storage efficiency, Access control, Access audit, Operability, Training, Communicativeness, Simplicity, Conciseness, Instrumentation, Self-descriptiveness, Synchronization, Generality, Modularity, Software system independence, Machine independence, Communications commonality, and Data commonality. The diagram visually maps how each main attribute relates to specific detailed quality factors.

","The difference between technical and business quality lies in their focus and perspective:

- **Technical Quality** focuses on the products and processes themselves, measured by technical attributes such as faults, failures, timing, correctness, reliability, efficiency, usability, maintainability, and other internal and external software characteristics. It is concerned with the technical value of the software product, such as how well it functions, its reliability, and how easy it is to use or maintain.

- **Business Quality** looks at the broader business value of the software and its impact on the products and services provided by the business in which the software is embedded. It considers how the software supports business goals, customer satisfaction, return on investment (ROI), cost savings, competitive advantage, and overall contribution to the business environment.

**Importance:**

- **Technical Quality** is important because it ensures the software works correctly, efficiently, and reliably, which is essential for user satisfaction and long-term maintainability. It helps developers and maintainers assess and improve the product's internal and external attributes.

- **Business Quality** is important because software exists within a business context and must deliver value beyond just technical excellence. It ensures that the software contributes to business success, such as improving productivity, reducing costs, enhancing customer satisfaction, and supporting strategic goals. Without business quality, technical improvements may not translate into real business benefits.

In summary, technical quality ensures the software is well-built and functional, while business quality ensures the software delivers meaningful value to the organization and its stakeholders. Both are crucial for the overall success of software projects.",1.603,5.576
Give two or three examples of fail ures you have encountered while using software.  Describe how these failures affected the quality of the software product.,"
[0]
[SECTION]: Testing the Programs > 8.1 Software Faults And Failures
[CONTENT]: In an ideal situation, we as programmers become so good at our craft that every program we produce works properly every time it is run. Unfortunately, this ideal is not reality. The difference between the two is the result of several things. First, many software systems deal with large numbers of states and with complex formulas, activities, and algorithms. In addition to that, we use the tools at our disposal to implement a customer's conception of a system when the customer is sometimes uncertain of exactly what is needed. Finally, the size of a project and the number of people involved can add complexity.Thus, the presence of faults is a function not just of the software, but also of user and customer expectations.
What do we mean when we say that our software has failed? Usually,we mean that the software does not do what the requirements describe. For example, the specification may state that the system must respond to a particular query only when the user is authorized to see the data. If the program responds to an unauthorized user, we say that the system has failed.The failure may be the result of any of several reasons:
 - The specification may be wrong or have a missing requirement. The specification may not state exactly what the customer wants or needs. In our example, the customer may actually want to have several categories of authorization, with each category having a different kind of access, but has never stated that need explicitly.
 - The specification  may  contain  a  requirement  that  is  impossible  to  implement, given the prescribed hardware and software.
 - The system design may contain a fault. Perhaps the database and query-language designs make it impossible to authorize users.
 - The program design may contain a fault. The component descriptions may contain an access control algorithm that does not handle this case correctly.
 - The program code may be wrong. It may implement the algorithm improperly or incompletely.
Thus, the failure is the result of one or more faults in some aspect of the system.


[1]
[SECTION]: Testing the System > 9.9 Testing Safety-Critical Systems
[CONTENT]: In Chapter 1, we looked at several examples of systems whose failure can harm or kill people. Such systems are called safety-critical , since the consequences of their failure are so severe.Anthes (1997) reported many other instances where software failures led to unacceptable levels of harm. For example, from 1986 to 1996, 450 reports were filed with  the  U.S. Food  and  Drug Administration, describing  software  faults  in  medical devices. And 24 of these reports involved software that led to death or injury. Among the problems reported were these:
 - An intravenous medication pump ran dry and injected air into a patient.
 - A monitor failed to sound an alarm when a patient's heart stopped beating.
 - A respirator delivered 'unscheduled breaths' to a patient.
 - A  digital  display  combined  the  name  of  one  patient  with  medical  data  from another patient.
The problems are not necessarily indicative of declining software quality. Rather, they reflect the increasing amount of software being placed in safety-critical systems.
Unfortunately, we do not always understand how the software development process affects the characteristics of the products we build, so it is difficult for us to ensure that safety-critical systems are safe enough. In particular, we do not know how much each practice or technique contributes to a product's reliability. At the same time, our customers require us to reach ever-higher levels of ultra-high reliability.


[2]
[SECTION]: Testing the Programs > 8.1 Software Faults And Failures
[CONTENT]: It  is  important  to  remember  that  software  faults  are  different  from  hardware faults. Bridges, buildings, and  other  engineered  constructions  may  fail  because  of shoddy materials, poor design, or because their components wear out. But loops do not wear out after several hundred iterations, and arguments are not dropped as they pass from one component to another. If a particular piece of code is not working properly, and if a spurious hardware failure is not the root of the problem, then we can be certain that there is a fault in the code. For this reason, many software engineers refuse to use the term 'bug' to describe a software fault; calling a fault a bug implies that the fault wandered into the code from some external source over which the developers have no control. In building software, we use software engineering practices to control the quality of the code we write.
In previous chapters, we examined many of the practices that help minimize the introduction of faults during specification and design. In this chapter, we examine techniques that can minimize the occurrence of faults in the program code itself.


[3]
[SECTION]: Why Software Engineering? > 1.16 Exercises > PILOT'S COMPUTER ERROR CITED IN PLANE CRASH. AMERICAN AIRLINES SAYS ONE-LETTER CODE WAS REASON JET HIT MOUNTAIN IN COLOMBIA.
[CONTENT]: 'First of all, no matter how many times you go to South America or any other place-the Rocky Mountains-you can never, never, never assume anything,' he told the newspaper. Second, he said, pilots must understand they can't let automation take over responsibility for flying the airplane.
Is this article evidence that we have a software crisis? How is aviation better off because of software engineering? What issues should be addressed during software development so that problems like this will be prevented in the future?
 - Give  an  example  of  problem  analysis  where  the  problem  components  are  relatively simple, but the difficulty in solving the problem lies in the interconnections among subproblem components.
 - Explain the difference between errors, faults, and failures. Give an example of an error that leads to a fault in the requirements; the design; the code. Give an example of a fault in the requirements that leads to a failure; a fault in the design that leads to a failure; a fault in the test data that leads to a failure.
 - Why can a count of faults be a misleading measure of product quality?
 - Many developers equate technical quality with overall product quality. Give an example of a product with high technical quality that is not considered high quality by the customer.Are there ethical issues involved in narrowing the view of quality to consider only technical quality? Use the Therac-25 example to illustrate your point.
 - Many organizations buy commercial software, thinking it is cheaper than developing and maintaining software in-house. Describe the pros and cons of using COTS software. For example, what happens if the COTS products are no longer supported by their vendors? What must the customer, user, and developer anticipate when designing a product that uses COTS software in a large system?


[4]
[SECTION]: Testing the Programs > 8.1 Software Faults And Failures > ORIGIN:  WHERE?
[CONTENT]: [FIGURE 8.1 Hewlett-Packard fault classification (Grady 1997).] 
[FIGURE_DESCRIPTIONS]
[0] Diagram illustrating the relationship between software development types and modes of issues or improvements. The top row lists types: Specification/Requirements, Design, Code, Environment/support, Documentation, and Other. Under Specification/Requirements, elements include Requirements or specifications and Functionality. Design includes HW interface, SW interface, User interface, and Functional description. Code covers (Inter-) Process communications, Data definition, Module design, Logic descriptions, Error checking, and Standards. Environment/support includes Logic Computation, Data handling, Module interface/implementation, and Standards. Other includes Test HW, Test SW, Integration SW, and Development tools. The bottom row shows modes or reasons: Missing, Unclear, Wrong, Changed, Better way, connected to all types, indicating common issues or improvement areas across software development phases.

","Based on the context provided, here are examples of software failures and their impact on software quality:

1. Unauthorized Access Failure:
   - Example: A system responds to a query even when the user is not authorized to see the data.
   - Impact: This failure compromises security and trust in the software, reducing its quality and reliability.

2. Safety-Critical System Failure:
   - Example: An intravenous medication pump runs dry and injects air into a patient, or a monitor fails to sound an alarm when a patient's heart stops beating.
   - Impact: Such failures can cause harm or death, severely affecting the safety and reliability of the software, which is critical in medical devices.

3. Data Misassociation Failure:
   - Example: A digital display combines the name of one patient with medical data from another patient.
   - Impact: This leads to incorrect information being presented, which can cause serious errors in decision-making and reduces the software's accuracy and trustworthiness.

These failures affect the quality of the software product by undermining its reliability, safety, security, and correctness, which are essential attributes for user trust and effective operation.",1.59,3.06
Examine failures that have occurred in software that you have written.  Identify and list the faults and errors that caused each failure.,"
[0]
[SECTION]: Testing the Programs > 8.1 Software Faults And Failures
[CONTENT]: No matter how capably we write programs, it is clear from the variety of possible faults that we should check to ensure that our components are coded correctly. Many programmers view testing as a demonstration that their programs perform properly. However, the idea of demonstrating correctness is really the reverse of what testing is all about.We test a program to demonstrate the existence of a fault. Because our goal is to discover faults, we consider a test successful only when a fault is discovered or a failure occurs as a result of our testing procedures. Fault identification is the process of determining what fault or faults caused the failure, and fault correction or removal is the process of making changes to the system so that the faults are removed.
By the time we have coded and are testing program components,we hope that the specifications are correct. Moreover, having used the software engineering techniques described in previous chapters, we have tried to ensure that the design of both the system and its components reflects the requirements and forms a basis for a sound implementation. However, the stages of the software development cycle involve not only our computing skills, but also our communication and interpersonal skills. It is entirely possible that a fault in the software can result from a misunderstanding during an earlier development activity.


[1]
[SECTION]: Testing the System > 9.1 Principles Of System Testing > Sources of Software Faults
[CONTENT]: Recall that a software fault causes a failure only when accompanied by the right conditions. That is, a fault may exist in the code, but if the code is never executed, or if the code is not executed long enough or in the appropriate configuration to cause a problem, we may never see the software fail. Because testing cannot exercise every possible condition, we keep as our goal the discovery of faults, hoping that in the process we eliminate all faults that might lead to failures during actual system usage.
Software faults can be inserted in a requirement, design, or code component, or in the documentation, at any point during development or maintenance. Figure 9.1 illustrates the likely causes of faults in each development activity. Although we would like to find and correct faults as early as possible, system testing acknowledges that faults may still be present after integration testing.
Faults can be introduced to the system early in development or late, such as when correcting a newly discovered fault. For example, defective software can result from faults  in  the  requirements. Whether a requirement was ambiguous because the customer was unsure of a need or because we misinterpreted the customer's meaning, the result is the same: a system that does not work the way the customer wants it to work.
The same kind of communication mishaps can occur during system design. We may misinterpret  a  requirement  and  write  an  incorrect  design  specification. Or  we understand the requirement but may word the specification so poorly that those who subsequently  read  it  and  use  the  design  misunderstand  it. Similarly, we  may  make assumptions about characteristics and relationships that are not shared by the other readers of the design.
Similar events can lead to program design faults. Misinterpretations are common when the system design is translated into lower-level descriptions for program design specifications. Programmers are several levels removed from the initial discussions with customers about system goals and functionality. Having responsibility for one 'tree' but not the 'forest,' programmers cannot be expected to spot design faults that have been perpetuated through the first steps of the development cycle. For this reason, requirements and design reviews are essential to ensuring the quality of the resulting system.


[2]
[SECTION]: Testing the Programs > 8.1 Software Faults And Failures > Types of Faults
[CONTENT]: After coding the program components, we usually examine the code to spot faults and eliminate them right away. When no obvious faults exist, we then test our program to see if we can isolate more faults by creating conditions where the code does not react as planned.Thus, it is important to know what kind of faults we are seeking.
An algorithmic fault occurs when a component's algorithm or logic does not produce the proper output for a given input because something is wrong with the processing steps. These faults are sometimes easy to spot just by reading through the program (called desk checking ) or by submitting input data from each of the different classes of data that we expect the program to receive during its regular working.Typical algorithmic faults include When checking for algorithmic faults, we may also look for syntax faults . Here, we want to be sure that we have properly used the constructs of the programming language. Sometimes, the  presence  of  a  seemingly  trivial  fault  can  lead  to  disastrous results. For example, Myers (1976) points out that the first U.S. space mission to Venus failed because of a missing comma in a Fortran do loop. Fortunately, compilers catch many of our syntax faults for us.
 - branching too soon
 - branching too late
 - testing for the wrong condition
 - forgetting to initialize variables or set loop invariants
 - forgetting  to  test  for  a  particular  condition  (e.g., when  division  by  zero  might occur)
 - comparing variables of inappropriate data types Computation and precision  faults occur  when  a  formula's  implementation  is wrong or does not compute the result to the required number of decimal places. For instance, combining integer and fixed- or floating-point variables in an expression may produce unexpected results.Sometimes,improper use of floating-point data,unexpected truncation, or ordering of operations may result in less-than-acceptable precision.


[3]
[SECTION]: Testing the Programs > 8.1 Software Faults And Failures > Types of Faults
[CONTENT]: Finally, the code should be reviewed to confirm that organizational standards and procedures have been followed. Standards and procedure faults may not always affect the running of the programs, but they may foster an environment where faults are created as the system is tested and modified. By failing to follow the required standards, one programmer may make it difficult for another to understand the code's logic or to find the data descriptions needed for solving a problem.


[4]
[SECTION]: Testing the Programs > 8.1 Software Faults And Failures > ORIGIN:  WHERE?
[CONTENT]: [FIGURE 8.2 Faults for one Hewlett-Packard division (Grady 1997).] 
IBM's use of this concept by showing us that the fault profile for design review is very different from that for code inspection.
[FIGURE_DESCRIPTIONS]
[0] Pie chart illustrating the distribution of software engineering activities by percentage. The segments are: Logic 32%, Documentation 19%, Computation 18%, Other code 11%, Data handling 6%, Requirements 5%, Process/Interprocess 5%, and Hardware 4%. Each segment is visually differentiated by distinct patterns and shading. The chart emphasizes the largest portion allocated to Logic, followed by Documentation and Computation, with smaller allocations to Hardware and Process/Interprocess.



[5]
[SECTION]: Testing the Programs > 8.1 Software Faults And Failures > ORIGIN:  WHERE?
[CONTENT]: [FIGURE 8.1 Hewlett-Packard fault classification (Grady 1997).] 
[FIGURE_DESCRIPTIONS]
[0] Diagram illustrating the relationship between software development types and modes of issues or improvements. The top row lists types: Specification/Requirements, Design, Code, Environment/support, Documentation, and Other. Under Specification/Requirements, elements include Requirements or specifications and Functionality. Design includes HW interface, SW interface, User interface, and Functional description. Code covers (Inter-) Process communications, Data definition, Module design, Logic descriptions, Error checking, and Standards. Environment/support includes Logic Computation, Data handling, Module interface/implementation, and Standards. Other includes Test HW, Test SW, Integration SW, and Development tools. The bottom row shows modes or reasons: Missing, Unclear, Wrong, Changed, Better way, connected to all types, indicating common issues or improvement areas across software development phases.

","The context does not provide specific examples of failures in software that you have written, nor does it list faults and errors from personal experience. However, it does describe common types of faults and errors that can cause software failures, which you can use to identify and classify faults in your own software:

1. Algorithmic Faults:
   - Incorrect logic or processing steps.
   - Branching too soon or too late.
   - Testing for the wrong condition.
   - Forgetting to initialize variables or set loop invariants.
   - Forgetting to test for particular conditions (e.g., division by zero).
   - Comparing variables of inappropriate data types.

2. Syntax Faults:
   - Errors in the use of programming language constructs (e.g., missing commas).

3. Computation and Precision Faults:
   - Incorrect formula implementation.
   - Improper use of floating-point data.
   - Unexpected truncation or ordering of operations leading to precision loss.

4. Standards and Procedure Faults:
   - Not following organizational coding standards.
   - Making code difficult to understand or maintain.

5. Faults Originating from Development Stages:
   - Requirements faults (ambiguous or misunderstood requirements).
   - Design faults (misinterpretation or poor wording of design specifications).
   - Program design faults (errors in translating design to code).

You can examine your software failures by checking if any of these faults or errors were present and caused the failure.",1.293,4.189
"Look through several issues of software magazines (IEEE Computer and IEEE Software are good choices) from the 1970's, 1980's and recent issues.  Compare the types of problems and solutions described in the older issues with those described in the more  recent issues.","
[0]
[SECTION]: Testing the System > 9.16 Key References
[CONTENT]: There have been several special issues of IEEE Software focused on the topics covered in this chapter. The June 1992 and May 1995 issues looked at reliability, the March 1991 issue focused on testing, and the May 2007 issue addressed test-driven development.
The proceedings of the annual International Conference on Software Engineering usually has good papers on the latest in testing theory. For example, Frankl et al. (1997) examine the difference between testing to improve reliability and testing to find faults. Good reference books on testing include Beizer (1990);Kaner,Falk,and Nguyen (1993); and Kit (1995). Each provides a realistic perspective based on industrial experience.
There  are  several  companies  that  evaluate  software  testing  tools  and  publish summaries of their capabilities. For example, Grove Consultants in England, Software Quality Engineering in Florida, and both Cigital and Satisfice in Virginia do regular analyses of testing techniques and tools. You can find these and other resources on the Web to help with requirements analysis and validation, planning and management,simulation, test development, test execution, coverage analysis, source code analysis, and test case generation.
Software dependability and safety-critical systems are receiving more and more attention, and there are many good articles and books about the key issues, including Leveson (1996, 1997). In addition, the Dependable Computing Systems Centre in the Department of Computer Science, University of York, UK, is developing techniques and tools for assessing software dependability. You can get more information from its director, John McDermid, at jam@minster.york.ac.uk.
Usability testing is very important; a system that is correct and reliable but difficult to use may in fact be worse than an easy-to-use but unreliable system. Usability tests and more general usability issues are covered in depth in Hix and Hartson (1993).


[1]
[SECTION]: Testing the Programs > 8.15 Key References
[CONTENT]: Testing has been the subject of several special issues of journals and magazines, including the March 1991 issue of IEEE Software and the June 1988 issue of Communications of  the  ACM . The  September  1994  issue  of Communications  of  the  ACM discusses special  considerations  in  testing  object-oriented  systems. And  the  January/February 2000 issue of IEEE Software addresses why testing is so hard. In addition, IEEE Transactions on Software Engineering often has articles that compare different testing techniques in terms of the kinds of faults they find.
There are several good books that describe testing in great detail. Myers (1979) is the classic text, describing the philosophy of testing as well as several specific techniques. Beizer (1990) offers a good overview of testing considerations and techniques, with many references to key papers in the field. His 1995 book focuses particularly on black-box  testing. Hetzel  (1984)  is  also  a  useful  reference, as  are  Perry  (1995), Kit (1995), and Kaner, Falk, and Nguyen (1993). Binder (2000) is a comprehensive guide to testing object-oriented systems.
There are many good papers describing the use of inspections, including Weller (1993 and 1994) and Grady and van Slack (1994). Gilb and Graham's book (1993) on inspections  is  a  good, comprehensive, and  practical  guide. Researchers  continue  to refine  inspection  techniques, and  to  expand  them  to  other  process  artifacts  such  as requirements. For examples of this work, see Porter et al. (1998) and Shull, Rus, and Basili (2000).


[2]
[SECTION]: Maintaining the System > 11.13 Key References
[CONTENT]: There are few up-to-date textbooks on software maintenance; most information is best sought in journals and conference proceedings. IEEE Software 's  January 1990 issue had maintenance, reverse engineering, and design recovery as its theme; the January 1995 issue focused on legacy systems, and the January 1993 issue has a good article by Wilde, Matthews, and Huitt on the special maintenance problems of object-oriented systems. The  May  1994  issue  of Communications  of  the ACM is  a  special  issue  on reverse engineering. Software Maintenance: Research and Practice is a journal devoted entirely to maintenance issues.
The IEEE Computer Society Press offers some good tutorials on maintenancerelated topics, including one on software reengineering by Arnold (1993), and another on impact analysis by Arnold and Bohner (1996).
Samuelson (1990) explores the legal implications of reverse engineering, asking whether such a practice is equivalent to stealing someone's ideas.
The International Conference on Software Maintenance is held every year, sponsored by the IEEE and ACM. You can order past proceedings from the IEEE Computer Society Press and look at information about the next maintenance conference by viewing the Computer Society Web site.


[3]
[SECTION]: The Future of Software Engineering > 14.6 Key References
[CONTENT]: The  social  science  literature  is  rich  with  information  about  group  decisionmaking. Klein (1998) is a very readable introduction to the recognition-primed decision model. The January/February 2000 issue of IEEE Software addresses the more general question of what we can learn from other disciplines.
For information about the Delphi technique, see Linstone and Turoff (1975), and Turoff and Hiltz (1995).
Discussion  of  software  engineering  licensing  is  addressed  in  the  November/ December 1999 issue of IEEE Software and the May 2000 issue of IEEE Computer . Kaner and Pels (1998) consider who is responsible when software fails, and what you can do as a consumer when your software product does not work properly.
