question,context,initial_answer,answer,retrieve_time_sec,generate_time_sec
"According to IEEE Standard 729 terminology, what is a fault?","
[0]
| TABLE 8.1            | IBMOrthogonal Defect Classification                                                                                                    |
|----------------------|----------------------------------------------------------------------------------------------------------------------------------------|
| FaultType            | Meaning                                                                                                                                |
| Function             | Fault that affects capability, end-user interfaces, product interfaces, interface with hardware architecture, or global data structure |
| Interface            | Fault in interacting with other components or drivers via calls, macros, control blocks, or parameter lists                            |
| Checking             | Fault in program logic that fails to validate data and values properly before they are used                                            |
| Assignment           | Fault in data structure or code block initialization                                                                                   |
| Timing/serialization | Fault that involves timing of shared and real-time resources                                                                           |
| Build/package/merge  | Fault that occurs because of problems in repositories,management changes, or version control                                           |
| Documentation        | Fault that affects publications and maintenance notes                                                                                  |
| Algorithm            | Fault involving efficiency or correctness of algorithm or data structure but not design                                                |

## SIDEBAR 8.1 HEWLETT-PACKARD'S FAULT CLASSIFICATION


[1]
However, software is not without its problems. Often systems function, but not exactly as expected.We all have heard stories of systems that just barely work.And we all have written faulty programs: code that contains mistakes, but is good enough for a passing grade or for demonstrating the feasibility of an approach. Clearly, such behavior is not acceptable when developing a system for delivery to a customer.

There is an enormous difference between an error in a class project and one in a large software system. In fact, software faults and the difficulty in producing fault-free software are frequently discussed in the literature  and  in  the  hallways. Some  faults are merely annoying; others cost a great deal of time and money. Still others are lifethreatening. Sidebar 1.1 explains the relationships among faults, errors, and failures. Let us look at a few examples of failures to see what is going wrong and why.

## SIDEBAR 1.1 TERMINOLOGY FOR DESCRIBING BUGS

O ften, we talk about 'bugs'in software,meaning many things that depend on the context.A 'bug' can be a mistake in interpreting a requirement, a syntax error in a piece of code, or the (as-yet-unknown) cause of a system crash. The Institute of Electrical and Electronics Engineers (IEEE) has suggested a standard terminology (in IEEE Standard 729) for describing 'bugs' in our software products (IEEE 1983).

A fault occurs when a human makes a mistake, called an error , in performing some software activity. For example, a designer may misunderstand a requirement and create a design that does not match the actual intent of the requirements analyst and the user.This design fault is an encoding of the error, and it can lead to other faults, such as incorrect code and an incorrect description in a user manual.Thus, a single error can generate many faults, and a fault can reside in any development or maintenance product.


[2]
We distinguish faults from failures. A failure is an observable departure of the system from its required behavior. Failures can be discovered both before and after system delivery,because they can occur in testing as well as during operation.In some sense,faults and failures refer respectively to invisible and visible flaws. In other words, faults represent flaws that only developers see, whereas failures are problems that users or customers see.

It is important to realize that not every fault corresponds to a failure, since the conditions  under  which  a  fault  manifests  itself  as  an  observable  failure  may  never be met. For example, fault-containing code may never be executed or may not exceed the boundaries of correct behavior (as with Ariane-4).

We make our software more reliable by preventing or tolerating faults. That is, rather than waiting for the software to fail and then fixing the problem, we anticipate what might happen and construct the system to react in an acceptable way.

Active Fault Detection. When we design a system to wait until a failure occurs during execution, we are practicing passive fault detection . However, if we periodically check for symptoms of faults, or try to anticipate when failures will occur, we are performing active fault detection . A common method for detecting faults within a process is  to  identify  known exceptions -that is, situations that cause the system to deviate from its desired behavior. Then, we include exception handling in our design, so that the system addresses each exception in a satisfactory way and returns the system to an acceptable state.Thus, for each service we want our system to provide, we identify ways it may fail and ways to detect that it has failed.Typical exceptions include

- failing to provide a service
- providing the wrong service

- corrupting data
- violating a system invariant (e.g., security property)
- deadlocking


[3]
| estimation                                       | 535-536                                       |
| accuracy, 104, 106                               | in requirements, 201-202, 448                 |
| by analogy, 107                                  | sources of, 286, 453-455                      |
| causes of inaccuracy, 105                        | success in finding, 402, 425-426              |
| critical path method, 87, 91, 92                 | types of, 403-404, 425                        |
| by expert judgment, 106-108                      | fault correction or removal, 402              |
| of maintenance effort, 550-554                   | fault density, 510, 558, 647                  |
| of project completion, 87                        | fault detection, 251-252                      |
| of project effort, 104                           | fault identification, 402                     |
| E-system, 538-539, 552, 575                      | fault injection, 646                          |
| evaluation, 580                                  | fault prevention, 250, 259                    |
| pitfalls in, 586-587                             | fault recovery, 252                           |
| preparing for, 584-585                           | fault report forms, 496                       |
","[
  {
    ""role"": ""sentence"",
    ""segment"": ""A fault occurs when a human makes a mistake, called an error, in performing some software activity."",
    ""citations"": [
      {
        ""type"": ""source_text"",
        ""content"": ""A fault occurs when a human makes a mistake, called an error, in performing some software activity."",
        ""img_id"": null
      }
    ],
    ""type"": null
  }
]","A fault occurs when a human makes a mistake, called an error, in performing some software activity.",0.745,3.839
"According to IEEE Standard 729 terminology, what is a failure?","
[0]
A failure is a departure from the system's required behavior. It can be discovered before or after system delivery, during testing, or during operation and maintenance. As we will see in Chapter 4, the requirements documents can contain faults. So a failure may indicate that the system is not performing as required, even though it may be performing as specified.

Thus, a  fault  is  an  inside  view  of  the  system, as  seen  by  the  eyes  of  the  developers, whereas a failure is an outside view: a problem that the user sees. Not every fault corresponds to a failure; for example, if faulty code is never executed or a particular state is never entered, then the fault will never cause the code to fail. Figure 1.4 shows the genesis of a failure.

FIGURE 1.4 How human error causes a failure.

<!-- image -->

In the early 1980s, the United States Internal Revenue Service (IRS) hired Sperry Corporation to build an automated federal income tax form processing system.According to the Washington Post, the 'system . . . proved inadequate to the workload, cost nearly twice what was expected and must be replaced soon' (Sawyer 1985). In 1985, an extra $90 million was needed to enhance the original $103 million worth of Sperry equipment.In addition, because the problem prevented the IRS from returning refunds to taxpayers by the deadline, the IRS was forced to pay $40.2 million in interest and $22.3 million in overtime wages for its employees who were trying to catch up. In 1996, the situation had not improved.The Los Angeles Times reported on March 29 that there was still no master plan for the modernization of IRS computers,only a 6000-page technical document. Congressman Jim Lightfoot called the project 'a $4-billion fiasco that is floundering because of inadequate planning' (Vartabedian 1996).


[1]
What do we mean when we say that our software has failed? Usually,we mean that the software does not do what the requirements describe. For example, the specification

may state that the system must respond to a particular query only when the user is authorized to see the data. If the program responds to an unauthorized user, we say that the system has failed.The failure may be the result of any of several reasons:

- The specification may be wrong or have a missing requirement. The specification may not state exactly what the customer wants or needs. In our example, the customer may actually want to have several categories of authorization, with each category having a different kind of access, but has never stated that need explicitly.
- The specification  may  contain  a  requirement  that  is  impossible  to  implement, given the prescribed hardware and software.
- The system design may contain a fault. Perhaps the database and query-language designs make it impossible to authorize users.
- The program design may contain a fault. The component descriptions may contain an access control algorithm that does not handle this case correctly.
- The program code may be wrong. It may implement the algorithm improperly or incompletely.

Thus, the failure is the result of one or more faults in some aspect of the system.

No matter how capably we write programs, it is clear from the variety of possible faults that we should check to ensure that our components are coded correctly. Many programmers view testing as a demonstration that their programs perform properly. However, the idea of demonstrating correctness is really the reverse of what testing is all about.We test a program to demonstrate the existence of a fault. Because our goal is to discover faults, we consider a test successful only when a fault is discovered or a failure occurs as a result of our testing procedures. Fault identification is the process of determining what fault or faults caused the failure, and fault correction or removal is the process of making changes to the system so that the faults are removed.


[2]
| TABLE 5.1                                               | Guidewords for Identifying Possible Failures                                                                                                                                                                                                                                                                                                                                                                                  |
|---------------------------------------------------------|-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------|
| Guideword                                               | Interpretation                                                                                                                                                                                                                                                                                                                                                                                                                |
| no more less part of other than early late before after | No data or control signal was sent or received The volume of data is too much or too fast The volume of data is too low or too slow The data or control signal is incomplete The data or control signal has another component The signal arrives too early for the clock The signal arrives too late for the clock The signal arrives too early in the expected sequence The signal arrives too late in the expected sequence |

FIGURE 5.11 Fault tree for a security breach.

<!-- image -->


[3]
We begin our analysis by identifying possible failures.Although our identification takes place during design, we consider failures that might be affected by design, operation, or even maintenance. We can use a set of guidewords to help us understand how the system might deviate from its intended behavior. Table 5.1 illustrates some of the guidewords  that  might  be  used; you  can  select  your  own  guidewords  or  checklists, based on your system's application domain.

Next, we build an upside-down tree whose root node is some failure that we want to analyze, and whose other nodes are events or faults that realize or lead to the root node's failure. The edges of the graph indicate the relationships among nodes. Parent nodes are drawn as logic gate operators: an and -gate if both of the child nodes' events must occur for the parent node's event to occur; an orgate if one child's event is sufficient to cause the parent's event. Sometimes, an edge is labeled n\_of\_m if the system
","[
    {
        ""role"": ""sentence"",
        ""segment"": ""What do we mean when we say that our software has failed? Usually, we mean that the software does not do what the requirements describe."",
        ""citations"": [
            {
                ""type"": ""source_text"",
                ""content"": ""What do we mean when we say that our software has failed? Usually, we mean that the software does not do what the requirements describe."",
                ""img_id"": null
            }
        ],
        ""type"": null
    }
]","What do we mean when we say that our software has failed? Usually, we mean that the software does not do what the requirements describe.",0.407,3.608
"In Garvin's five perspectives on quality, what does the manufacturing view examine?","
[0]
The transcendental view is much like Plato's description of the ideal or Aristotle's concept of form. In other words, just as every actual table is an approximation of an ideal table, we can think of software quality as an ideal toward which we strive; however, we may never be able to implement it completely.

The transcendental view is ethereal, in contrast to the more concrete view of the user. We take a user view when we measure product characteristics, such as defect density or reliability, in order to understand the overall product quality.

The manufacturing view looks at quality during production and after delivery. In particular, it examines whether the product was built right the first time, avoiding costly rework to fix delivered faults. Thus, the manufacturing view is a process view, advocating conformance to good process. However, there is little evidence that conformance to process actually results in products with fewer faults and failures; process may indeed lead to high-quality products, but it may possibly institutionalize the production of mediocre products.We examine some of these issues in Chapter 12.

The user and manufacturing views look at the product from the outside, but the product view peers inside and evaluates a product's inherent characteristics.This view is the one often advocated by software metrics experts; they assume that good internal quality indicators will lead to good external ones, such as reliability and maintainability. However, more research is

needed to verify these assumptions and to determine which aspects of quality affect the product's actual use.We may have to develop models that link the product view to the user view.


[1]
needed to verify these assumptions and to determine which aspects of quality affect the product's actual use.We may have to develop models that link the product view to the user view.

Customers or marketers often take a user view of quality. Researchers sometimes hold a product view, and the development team has a manufacturing view. If the differences in viewpoints are not made explicit, then confusion and misunderstanding can lead to bad decisions and  poor  products. The  value-based  view  can  link  these  disparate  pictures  of  quality. By equating quality to what the customer is willing to pay, we can look at trade-offs between cost and  quality, and  we  can  manage  conflicts  when  they  arise. Similarly, purchasers  compare product costs with potential benefits, thinking of quality as value for money.

Kitchenham and Pfleeger (1996) investigated the answer to this question in their introduction to a special issue of IEEE Software on quality. They note that the context helps to determine the answer. Faults tolerated in word processing software may not be acceptable in safety-critical or mission-critical systems. Thus, we must consider quality in at least three ways: the quality of the product, the quality of the process that results in the product, and the quality of the product in the context of the business environment in which the product will be used.

## The Quality of the Product

We can ask people to name the characteristics of software that contribute to its overall quality, but we are likely to get different answers from each person we ask. This difference occurs because the importance of the characteristics depends on who is analyzing the software. Users judge software to be of high quality if it does what they want in a way that is easy to learn and easy to use. However, sometimes quality and functionality are intertwined; if something is hard to learn or use but its functionality is worth the trouble, then it is still considered to have high quality.


[2]
We try  to  measure  software  quality  so  that  we  can  compare  one  product  with another. To do so, we identify those aspects of the system that contribute to its overall quality. Thus, when measuring software quality, users assess such external characteristics as the number of failures and type of failures. For example, they may define failures as minor,major,and catastrophic,and hope that any failures that occur are only minor ones.

The software must also be judged by those who are designing and writing the code and by those who must maintain the programs after they are written.These practitioners tend to look at internal characteristics of the products, sometimes even before the product is delivered to the user. In particular, practitioners often look at numbers and types of faults for evidence of a product's quality (or lack of it). For example, developers track the number of faults found in requirements, design, and code inspections and use them as indicators of the likely quality of the final product.

For this reason, we often build models to relate the user's external view to the developer's internal view of the software. Figure 1.5 is an example of an early quality model built by McCall and his colleagues to show how external quality factors (on the left-hand side) relate to product quality criteria (on the right-hand side). McCall associated each right-hand criterion with a measurement to indicate the degree to which an

FIGURE 1.5 McCall's quality model.

<!-- image -->

element of quality was addressed (McCall, Richards, and Walters 1977).We will examine several product quality models in Chapter 12.

## The Quality of the Process

There are many activities that affect the ultimate product quality; if any of the activities go awry, the product quality may suffer. For this reason, many software engineers feel that the quality of the development and maintenance process is as important as product quality. One of the advantages of modeling the process is that we can examine it and look for ways to improve it. For example, we can ask questions such as:


[3]
## SIDEBAR 9.13 WHY SIX-SIGMA EFFORTS DO NOT APPLY TO SOFTWARE

W hen we think of high-quality systems, we often use hardware analogies to justify applying successful hardware techniques to software. But Binder (1997) explains why some of the hardware techniques are inappropriate for software. In particular, consider the notion of building software to meet what is known as 'six-sigma' quality constraints. Manufactured parts usually have a range or tolerance within which they are said to meet their design goals. For example, if a part is to weigh 45 mg, we may in fact accept parts that weigh between 44.9998 mg and 45.0002 mg; if a part's weight is outside this range, we say that it is faulty or defective. A six-sigma quality constraint says that in a billion parts, we can expect only 3.4 to be outside the acceptable range (i.e., no more than 3.4 parts per billion are faulty). As the number of parts in a product increases, the chances of getting a fault-free product drop, so that the chance of a fault-free 100-part product (where the parts are designed to six-sigma constraints) is 0.9997. We can address this drop in quality by reducing the number of parts, reducing the number of critical constraints per part, and simplifying the process by which we put together separate parts.
","[
    {
        ""role"": ""sentence"",
        ""segment"": ""It examines whether the product was built right the first time, avoiding costly rework to fix delivered faults."",
        ""citations"": [
            {
                ""type"": ""source_text"",
                ""content"": ""In particular, it examines whether the product was built right the first time, avoiding costly rework to fix delivered faults."",
                ""img_id"": null
            }
        ],
        ""type"": null
    }
]","It examines whether the product was built right the first time, avoiding costly rework to fix delivered faults.",0.421,9.642
What are the three categories into which participants in a software project usually fall?,"
[0]
FIGURE 1.7 Participants in software development.

<!-- image -->

managers needed to coordinate and guide the programmers and testers.The user is the person or people who will actually use the system: the ones who sit at the terminal or submit the data or read the output. Although for some projects the customer, user, and developer are the same person or group,often these are different sets of people.Figure 1.7 shows the basic relationships among the three types of participants.

The customer, being in control of the funds, usually negotiates the contract and signs  the  acceptance  papers. However, sometimes  the  customer  is  not  a  user. For example, suppose Wittenberg Water Works signs a contract with Gentle Systems, Inc., to build a computerized accounting system for the company. The president of Wittenberg may describe to the representatives of Gentle Systems exactly what is needed, and she will sign the contract. However, the president will not use the accounting system directly; the users will be the bookkeepers and accounting clerks.Thus,it is important that the developers understand exactly what both the customer and users want and need.

On the other hand, suppose Wittenberg Water Works is so large that it has its own computer systems development division.The division may decide that it needs an automated tool to keep track of its own project costs and schedules. By building the tool itself, the division is at the same time the user, customer, and developer.


[1]
Team  building  and  team  interaction  are  essential  on  good  software  projects. Weinberg (1993) discusses work styles and their application to team building in the second volume of his series on software quality. Scholtes (1995) includes material on how to handle difficult team members.

Project management for small projects is necessarily different from that for large projects. The  October  1999  issue  of IEEE  Computer addresses  software  engineering in the small, with articles about small projects, Internet time pressures, and extreme programming.

Project management for Web applications is somewhat different from more traditional  software  engineering. Mendes  and  Moseley  (2006)  explore  the  differences. In particular, they  address  estimation  for Web  applications  in  their  book  on 'Web engineering.'

## 3.14 EXERCISES

1. You are about to bake a two-layer birthday cake with icing. Describe the cake-baking project as a work breakdown structure. Generate an activity graph from that structure. What is the critical path?
2. Figure 3.23 is an activity graph for a software development project. The number corresponding to each edge of the graph indicates the number of days required to complete the activity represented by that branch. For example, it will take four days to complete the


[2]
FIGURE 1.6 Terms included in industry definition of return on investment.

<!-- image -->

Even though the different ROI calculations can be justified for each organization, it is worrying that software technology return on investment is not the same as financial ROI. At some point, program success must be reported to higher levels of management, many of which are related not to software but to the main company business, such as telecommunications or banking. Much confusion will result from the use of the same terminology to mean vastly different things.Thus, our success criteria must make sense not only for software projects and processes, but also for the more general business practices they support.We will examine this issue in more detail in Chapter 12 and look at using several common measures of business value to choose among technology options.

## 1.4 WHO DOES SOFTWARE ENGINEERING?

A key component of software development is communication between customer and developer; if that fails, so too will the system. We must understand what the customer wants and needs before we can build a system to help solve the customer's problem.To do this, let us turn our attention to the people involved in software development.

The  number  of  people  working  on  software  development  depends  on  the project's  size  and  degree  of  difficulty. However, no  matter  how  many  people  are involved, the roles played throughout the life of the project can be distinguished.Thus, for a large project, one person or a group may be assigned to each of the roles identified; on a small project, one person or group may take on several roles at once.

Usually, the participants in a project fall into one of three categories: customer, user, or developer.The customer is the company, organization, or person who is paying for the software system to be developed.The developer is the company, organization, or person who is building the software system for the customer.This category includes any

FIGURE 1.7 Participants in software development.

<!-- image -->


[3]
<!-- image -->

people are needed but no one is assigned. In April and May, some team members are working, but not enough to do the required job. On the other hand, the period during which there are too many team members is clearly shown: from the beginning of June to the end of September. The resource allocation for this project is clearly out of balance. By changing the graph's input data, you can change the resource allocation and try to reduce the overload, finding the best resource load for the schedule you have to meet.

Later  in  this  chapter, we  will  see  how  to  estimate  the  costs  of  development. Project  management  tools  track  actual  costs  against  the  estimates, so  that  budget progress can be assessed, too. Figure 3.8 shows an example of how expenditures can be

FIGURE 3.8 Tracking planned vs. actual expenditures.

<!-- image -->

monitored. By combining budget tracking with personnel tracking, you can use project management tools to determine the best resources for your limited budget.

## 3.2 PROJECT PERSONNEL

To determine the project schedule and estimate the associated effort and costs, we need to know approximately how many people will be working on the project, what tasks they will perform, and what abilities and experience they must have so they can do their jobs effectively. In this section, we look at how to decide who does what and how the staff can be organized.

## Staff Roles and Characteristics

In Chapter 2, we examined several software process models, each depicting the way in which the several activities of software development are related. No matter the model, there  are  certain  activities  necessary  to  any  software  project. For  example, every project requires people to interact with the customers to determine what they want and by when they want it. Other project personnel design the system, and still others write or test the programs. Key project activities are likely to include

1. requirements analysis
2. system design
3. program design
4. program implementation
5. testing
6. training
7. maintenance
8. quality assurance
","[
  {
    ""role"": ""sentence"",
    ""segment"": ""Usually, the participants in a project fall into one of three categories: customer, user, or developer."",
    ""citations"": [
      {
        ""type"": ""source_text"",
        ""content"": ""Usually, the participants in a project fall into one of three categories: customer, user, or developer."",
        ""img_id"": null
      }
    ],
    ""type"": null
  }
]","Usually, the participants in a project fall into one of three categories: customer, user, or developer.",0.675,3.172
What is the purpose of McCall’s quality model?,"
[0]
We try  to  measure  software  quality  so  that  we  can  compare  one  product  with another. To do so, we identify those aspects of the system that contribute to its overall quality. Thus, when measuring software quality, users assess such external characteristics as the number of failures and type of failures. For example, they may define failures as minor,major,and catastrophic,and hope that any failures that occur are only minor ones.

The software must also be judged by those who are designing and writing the code and by those who must maintain the programs after they are written.These practitioners tend to look at internal characteristics of the products, sometimes even before the product is delivered to the user. In particular, practitioners often look at numbers and types of faults for evidence of a product's quality (or lack of it). For example, developers track the number of faults found in requirements, design, and code inspections and use them as indicators of the likely quality of the final product.

For this reason, we often build models to relate the user's external view to the developer's internal view of the software. Figure 1.5 is an example of an early quality model built by McCall and his colleagues to show how external quality factors (on the left-hand side) relate to product quality criteria (on the right-hand side). McCall associated each right-hand criterion with a measurement to indicate the degree to which an

FIGURE 1.5 McCall's quality model.

<!-- image -->

element of quality was addressed (McCall, Richards, and Walters 1977).We will examine several product quality models in Chapter 12.

## The Quality of the Process

There are many activities that affect the ultimate product quality; if any of the activities go awry, the product quality may suffer. For this reason, many software engineers feel that the quality of the development and maintenance process is as important as product quality. One of the advantages of modeling the process is that we can examine it and look for ways to improve it. For example, we can ask questions such as:


[1]
Dromey's Model. Dromey has addressed these issues by proposing a way to construct a product-based quality model, all of whose lowest-level characteristics are measurable (Dromey 1996). His technique is based on two issues:

1. Many product properties appear to influence software quality.
2. Apart from a small amount of anecdotal, empirical evidence, there is little formal basis for understanding which lower-level attributes affect the higher-level ones.

Dromey suggests a generic technique for building a quality model. He notes that product quality is largely determined by the choice of components that comprise the product (including requirements documents,user's guides,and designs,as well as code), the tangible properties of components, and the tangible properties of component composition. Moreover, he classifies tangible qualities using four properties:

1. correctness properties
2. internal properties
3. contextual properties
4. descriptive properties

Next, he proposes that high-level quality attributes be only those that are of high priority (which will vary from project to project). In an example, he considers the combination of eight high-level attributes: the six attributes of ISO 9126, plus the attributes of reusability and process maturity. Reusability attributes consist of

- machine independence
- separability
- configurability

and process maturity attributes consist of

- client orientation
- well-definedness
- assurance
- effectiveness

To  make  these  characteristics  more  tangible, Dromey  combines  the  attributes with his framework to obtain the linkage shown in Figure 12.4.Then, he evaluates each type  of  software  component  in  light  of  the  framework; two  examples  are  shown  in Figure 12.5.The model is based on following five steps:


[2]
Boehm's Model. There are many software quality models, and Boehm and colleagues have constructed one of the best-known, shown in Figure 12.2. It is similar to McCall's in that it presents a hierarchy of characteristics, each of which contributes to overall quality (Boehm et al. 1978). Note that Boehm's notion of successful software includes the needs and expectations of users, as does McCall's; however, Boehm also includes characteristics of hardware performance that are missing in the McCall model. Let us examine Boehm's model in more detail.

Boehm's model begins with the general utility of the software. Thus, Boehm and his colleagues are asserting that first and foremost, a software system must be useful. If it is not, then its development has been a waste of time, money, and effort.We can consider utility in several ways, corresponding to the types of users who remain involved once the system is delivered.

The first type of user is the original customer, who is pleased with the utility of the system if it does what the customer wants it to do. However, there may be others who want to use the system on another computer or at another location. In this case, the system must be portable so that it can be moved from one computer to another and still function properly. The system should also be portable in a slightly different sense. Sometimes, an overall configuration remains the same, but the hardware or software is upgraded to a newer model or version. In this case, the system should be able to be moved to the new or different model or version without disturbing the functionality of the system. For example, if one programming language compiler is replaced by another compiler for the same language, the system's functions should not be degraded.Thus, the second type of user of a system is the one involved with this upgraded or changed system.


[3]
## Process Maturity Models

In the 1980s, spurred by work at IBM, several organizations began to examine the software  development  process  as  a  whole  rather  than  focus  on  individual  activities. Attempts were made by several researchers to characterize what it is that makes a process effective. From this work grew the notion of process maturity , where the development process incorporates feedback and control mechanisms so that its high-quality products are produced on time with few management surprises.

Capability Maturity Model. The Capability Maturity Model (CMM) was developed by the U.S. Software Engineering Institute (SEI) to assist  the  Department  of Defense in assessing the quality of its contractors. The CMM, inspired by Deming's work (1989), had its beginning as the process maturity model , where an organization was rated on an ordinal scale from 1 (low) to 5 (high), based on the answers to 110 questions about its development process. Figure 12.9 summarizes the rise from low levels of maturity to higher ones.

Table 12.10 lists the 12 questions required for a level 2 (repeatable) assessment; if any of these questions was answered 'no,' then the organization was automatically assessed at a level 1, regardless of the answers to the 98 other questions.
","[
  {
    ""role"": ""sentence"",
    ""segment"": ""Figure 1.5 is an example of an early quality model built by McCall and his colleagues to show how external quality factors (on the left-hand side) relate to product quality criteria (on the right-hand side)."",
    ""citations"": [
      {
        ""type"": ""source_text"",
        ""content"": ""Figure 1.5 is an example of an early quality model built by McCall and his colleagues to show how external quality factors (on the left-hand side) relate to product quality criteria (on the right-hand side)."",
        ""img_id"": null
      }
    ],
    ""type"": null
  }
]",Figure 1.5 is an example of an early quality model built by McCall and his colleagues to show how external quality factors (on the left-hand side) relate to product quality criteria (on the right-hand side).,0.381,6.69
"What does a software engineer focus on, as opposed to investigating hardware design or proving algorithms?","
[0]
system from initial idea to final product. Moreover, software engineering design concepts tend  to  focus  on  general-purpose  design  principles, patterns, and  criteria; advanced courses present design and analysis techniques that scale to large software systems.

Although it is tempting to try to classify software engineering as just another branch of engineering, this 'natural' mapping has a fatal flaw: whereas most engineers produce physical artifacts that are deployed in the real world and obey physical laws, software engineers produce software artifacts that are deployed on computers (which are artificial  worlds)  and  obey  the  laws  and  limits  of  computing. Most  noticeably, a physical artifact has continuous behavior, which means that we can test the product in one situation and extrapolate how it will behave in related situations. Software artifacts cannot  exhibit  continuous  behavior, which  means  that  similar  inputs  may  result  in wildly  different  output  values. Also, software  is  implemented  using  discrete-valued variables, and  the  imprecision  introduced  by  such  variables  can  accumulate  in  long computations.'Off by one' errors in other engineering disciplines are inconsequential, but such errors in software are disastrous. Thus, many of the traditional modeling and evaluation techniques in the engineer's standard toolkit are inappropriate for software. Software's flexibility and malleability belie its complexity; even small changes can have large effects, so design and testing are often far more difficult than in other engineering domains.


[1]
Software  engineering  courses  build  on  these  foundations  in  computing  and engineering, and introduce the concepts that we cover in this book, including requirements elicitation, software design principles, technical documentation, project management, testing, and verification. In addition, a software engineering curriculum is likely to  include  nontechnical  courses  in  communications, humanities, and  social  sciences. Software engineering projects tend to involve large numbers of people, so software engineers need to understand the dynamics of group interaction to know how to motivate individuals to pursue a common goal. They need to consider the impact of their technology on users and on society as a whole, and they may need to make decisions that take human and social values into account. They may also have to interact with specialists  from  other  disciplines  who  have  varied  levels  of  software  expertise. This work calls for strong communication, business, and reasoning skills.

As such, software engineering is more general, is more applied, and has a broader scope than computer science. At its core, computer science focuses on data, data transformation, and algorithms; advanced courses present designs and programming techniques for specific  application  domains. In  contrast, software  engineering  focuses  on building software products. It looks at all the activities involved in developing a software

system from initial idea to final product. Moreover, software engineering design concepts tend  to  focus  on  general-purpose  design  principles, patterns, and  criteria; advanced courses present design and analysis techniques that scale to large software systems.


[2]
Software engineers use tools, techniques, procedures, and paradigms to enhance the  quality  of  their  software  products. Their  aim  is  to  use  efficient  and  productive approaches to generate effective solutions to problems. In the chapters that follow, we will  highlight particular approaches that support the development and maintenance activities we describe. An up-to-date set of pointers to tools and techniques is listed in this book's associated home page on the World Wide Web.

## Where Does the Software Engineer Fit In?

To understand how a software engineer fits into the computer science world, let us look to another discipline for an example. Consider the study of chemistry and its use to solve problems. The chemist investigates chemicals: their structure, their interactions, and  the  theory  behind  their  behavior. Chemical  engineers  apply  the  results  of  the chemist's studies to a variety of problems. Chemistry as viewed by chemists is the object of study. On the other hand, for a chemical engineer, chemistry is a tool to be used to address a general problem (which may not even be 'chemical' in nature).

We can view computing in a similar light. We can concentrate on the computers and programming languages, or we can view them as tools to be used in designing and implementing a solution to a problem. Software engineering takes the latter view, as shown in  Figure  1.3. Instead  of  investigating  hardware  design  or  proving  theorems about how algorithms work,a software engineer focuses on the computer as a problemsolving tool. We will see later in this chapter that a software engineer works with the

FIGURE 1.3 The relationship between computer science and software engineering.

<!-- image -->

functions of a computer as part of a general solution, rather than with the structure or theory of the computer itself.

## 1.2 HOW SUCCESSFUL HAVE WE BEEN?


[3]
From engineering, a software engineering curriculum borrows and adapts principles and practices that scale to large systems and that are aimed at producing successful products:

- Early planning and development activities that help to reveal errors early in the development process, when they are cheaper and easier to fix
- Systematic, predictable design and development processes that help to ensure that a software product is developed economically and that it is fit for use
- Consideration of nonfunctional properties, such as performance, maintainability, usability, economy, and time-to-market, that often determine whether a software product is acceptable

A traditional engineering education also includes a solid foundation in mathematics and science and an exposure to other engineering disciplines. Engineers use mathematics to model and analyze their designs. A science background is important because engineers must understand how to react to and control the physical world. Exposure to other engineering disciplines helps an engineer to understand and work more effectively with engineers from other disciplines, and to build components that interoperate better with other engineered components.


[4]
Is this article evidence that we have a software crisis? How is aviation better off because of software engineering? What issues should be addressed during software development so that problems like this will be prevented in the future?
","[
    {
        ""role"": ""sentence"",
        ""segment"": ""They focus on the computer as a problem-solving tool, instead of investigating hardware design or proving theorems about how algorithms work."",
        ""citations"": [
            {
                ""type"": ""source_text"",
                ""content"": ""a software engineer focuses on the computer as a problemsolving tool."",
                ""img_id"": null
            },
            {
                ""type"": ""source_text"",
                ""content"": ""instead of investigating hardware design or proving theorems about how algorithms work"",
                ""img_id"": null
            }
        ],
        ""type"": null
    }
]","They focus on the computer as a problem-solving tool, instead of investigating hardware design or proving theorems about how algorithms work.",0.54,6.511
