question,context,initial_answer,answer,retrieve_time_sec,generate_time_sec
What is software engineering and how does it fit into computer science?,"
[0]
[SECTION]: Why Software Engineering? > 1.1 What Is Software Engineering? > Where Does the Software Engineer Fit In?
[CONTENT]: To understand how a software engineer fits into the computer science world, let us look to another discipline for an example. Consider the study of chemistry and its use to solve problems. The chemist investigates chemicals: their structure, their interactions, and  the  theory  behind  their  behavior. Chemical  engineers  apply  the  results  of  the chemist's studies to a variety of problems. Chemistry as viewed by chemists is the object of study. On the other hand, for a chemical engineer, chemistry is a tool to be used to address a general problem (which may not even be 'chemical' in nature).
We can view computing in a similar light. We can concentrate on the computers and programming languages, or we can view them as tools to be used in designing and implementing a solution to a problem. Software engineering takes the latter view, as shown in  Figure  1.3. Instead  of  investigating  hardware  design  or  proving  theorems about how algorithms work,a software engineer focuses on the computer as a problemsolving tool. We will see later in this chapter that a software engineer works with the functions of a computer as part of a general solution, rather than with the structure or theory of the computer itself.
","[
  {
    ""role"": ""paragraph"",
    ""segment"": ""Software engineering takes the latter view of computing: it focuses on the computer as a problem-solving tool and uses computing as a means to design and implement solutions to general problems, rather than solely examining hardware design or proving theorems about algorithms."",
    ""citations"": [
      {
        ""type"": ""source_text"",
        ""content"": ""We can view computing in a similar light. We can concentrate on the computers and programming languages, or we can view them as tools to be used in designing and implementing a solution to a problem."",
        ""img_id"": null
      },
      {
        ""type"": ""source_text"",
        ""content"": ""Software engineering takes the latter view, as shown in Figure 1.3. Instead of investigating hardware design or proving theorems about how algorithms work, a software engineer focuses on the computer as a problem-solving tool."",
        ""img_id"": null
      },
      {
        ""type"": ""source_text"",
        ""content"": ""We will see later in this chapter that a software engineer works with the functions of a computer as part of a general solution, rather than with the structure or theory of the computer itself."",
        ""img_id"": null
      }
    ],
    ""type"": null
  }
]","Software engineering takes the latter view of computing: it focuses on the computer as a problem-solving tool and uses computing as a means to design and implement solutions to general problems, rather than solely examining hardware design or proving theorems about algorithms.",3.264,9.933
What is the difference between technical and business quality? Explain why each is important.,,"[
  {
    ""role"": ""paragraph"",
    ""segment"": ""The chatbot can't answer this question. Please try again with another question."",
    ""citations"": [],
    ""type"": ""abstained""
  }
]",The chatbot can't answer this question. Please try again with another question.,0.934,4.792
Give two or three examples of fail ures you have encountered while using software.  Describe how these failures affected the quality of the software product.,,"[
    {
        ""role"": ""paragraph"",
        ""segment"": ""The chatbot can't answer this question. Please try again with another question."",
        ""citations"": [],
        ""type"": ""abstained""
    }
]",The chatbot can't answer this question. Please try again with another question.,0.429,4.794
Examine failures that have occurred in software that you have written.  Identify and list the faults and errors that caused each failure.,,"[
  {
    ""role"": ""paragraph"",
    ""segment"": ""The chatbot can't answer this question. Please try again with another question."",
    ""citations"": [],
    ""type"": ""abstained""
  }
]",The chatbot can't answer this question. Please try again with another question.,0.528,3.567
"Look through several issues of software magazines (IEEE Computer and IEEE Software are good choices) from the 1970's, 1980's and recent issues.  Compare the types of problems and solutions described in the older issues with those described in the more  recent issues.",,"[
  {
    ""role"": ""paragraph"",
    ""segment"": ""The chatbot can't answer this question. Please try again with another question."",
    ""citations"": [],
    ""type"": ""abstained""
  }
]",The chatbot can't answer this question. Please try again with another question.,0.427,3.669
Describe the process you use to get to ready for class or work in the morning. Draw a diagram to capture the process.,,"[
  {
    ""role"": ""paragraph"",
    ""segment"": ""The chatbot can't answer this question. Please try again with another question."",
    ""citations"": [],
    ""type"": ""abstained""
  }
]",The chatbot can't answer this question. Please try again with another question.,0.448,3.137
"Describe three software development life - cycle models. For each, name the main activities performed, and the inputs and outputs of each activity. For each give an example of the kind of software development project where the life - cycle model would be well - suited, and an example of where the life - cycle model would be inappropriate; explain why.",,"[
    {
        ""role"": ""paragraph"",
        ""segment"": ""The chatbot can't answer this question. Please try again with another question."",
        ""citations"": [],
        ""type"": ""abstained""
    }
]",The chatbot can't answer this question. Please try again with another question.,0.429,3.366
What is the difference between static and dynamic modeling? Explain how each type of modeling is useful.,,"[
    {
        ""role"": ""paragraph"",
        ""segment"": ""The chatbot can't answer this question. Please try again with another question."",
        ""citations"": [],
        ""type"": ""abstained""
    }
]",The chatbot can't answer this question. Please try again with another question.,0.317,4.386
"Use the five desirable properties of process modeling tools and techniques identified by Curtis, Kellner and Over(1992) and presented in Section 2.4 of the textbook to evaluate one process modeling tool or technique. You may use an example from the book and/or consult outside sources.","
[0]
[SECTION]: Modeling the Process and Life Cycle > 2.4 Practical Process Modeling > Desirable Properties of Process Modeling Tools and Techniques
[CONTENT]: There are many process modeling tools and techniques, and researchers continue to work to determine which ones are most appropriate for a given situation. But there are some characteristics that are helpful, regardless of technique. Curtis, Kellner, and Over (1992) have identified five categories of desirable properties:
 - Facilitates  human understanding and communication. The technique should be able to represent the process in a form that most customers and developers can understand, encouraging communication about the process and agreement on its form and improvements. The technique should include sufficient information to allow one or more people to actually perform the process.And the model or tool should form a basis for training.
 - Supports process improvement. The technique should identify the essential components of a development or maintenance process. It should allow reuse of processes or  subprocesses  on  subsequent  projects, compare  alternatives, and  estimate  the impact of changes before the process is actually put into practice. Similarly, the technique should assist in selecting tools and techniques for the process, in encouraging organizational learning, and in supporting continuing evolution of the process.
 - Supports  process  management. The  technique  should  allow  the  process  to  be project-specific. Then, developers and customers should be able to reason about attributes of software creation or evolution. The technique should also support planning and forecasting, monitoring and managing the process, and measuring key process characteristics.
 - Provides automated guidance in performing the process. The technique should define all or part of the software development environment, provide guidance and suggestions, and retain reusable process representations for later use.
 - Supports automated process execution. The technique should automate all or part of  the  process, support  cooperative work, capture relevant measurement data, and enforce rules to ensure process integrity.


[1]
[SECTION]: Modeling the Process and Life Cycle > 2.4 Practical Process Modeling > Desirable Properties of Process Modeling Tools and Techniques
[CONTENT]: These characteristics can act as useful guidelines for selecting a process modeling technique for your development project. Item 4 is especially important if your organization is attempting to standardize its process; tools can help prompt developers about what to do next and provide gateways and checkpoints to assure that an artifact meets certain standards before the next steps are taken. For example, a tool can check a set of code components, evaluating their size and structure. If size or structure exceeds predefined limits, the developers can be notified before testing begins, and some components may be reviewed and perhaps redesigned.


[2]
[SECTION]: Modeling the Process and Life Cycle > 2.11 Key References > TABLE 2.3 ( continued )
[CONTENT]:  - iteration and feedback to earlier steps
 - user creativity
 - object and information management, as well as flow through the process
 - object structure, attributes, and interrelationships
 - organizational responsibility for specific tasks
 - physical communication mechanisms for information transfer
 - process measurements
 - temporal aspects (both absolute and relative)
 - tasks executed by humans
 - professional judgment or discretion
 - connection to narrative explanations
 - tasks invoked or executed by a tool
 - resource constraints and allocation, schedule determination
 - process modification and improvement
 - multiple levels of aggregation and parallelism Eighteen different process modeling techniques were applied to the common problem, and varying degrees of satisfaction were found with each one. The results are reported in Kellner and Rombach (1990).
Curtis, Kellner, and Over (1992) present a comprehensive survey of process modeling techniques and tools. The paper also summarizes basic language types and constructs and gives examples of process modeling approaches that use those language types.
Krasner et al. (1992) describe lessons learned when implementing a software process modeling system in a commercial environment.
Several Web sites contain information about process modeling.
 - The U.S. Software Engineering Institute (SEI) continues to investigate process modeling as part of its process improvement efforts.A list of its technical reports and activities can be found at http://www.sei.cmu.edu. The information at http:// www.sei.cmu.edu/collaborating/spins/ describes Software Process Improvement Networks, geographically-based groups of people interested in process improvement who often meet to hear speakers or discuss process-related issues.
 - The European Community has long sponsored research in process modeling and a process model language. Descriptions of current research projects are available at http://cordis.europa.eu/fp7/projects_en.html.
","[
  {
    ""role"": ""paragraph"",
    ""segment"": "" Curtis, Kellner, and Over identify five desirable properties of process modeling tools and techniques: Facilitates human understanding and communication; Supports process improvement; Supports process management; Provides automated guidance in performing the process; Supports automated process execution."",
    ""citations"": [
      {
        ""type"": ""source_text"",
        ""content"": ""There are many process modeling tools and techniques, and researchers continue to work to determine which ones are most appropriate for a given situation. But there are some characteristics that are helpful, regardless of technique. Curtis, Kellner, and Over (1992) have identified five categories of desirable properties:"",
        ""img_id"": null
      },
      {
        ""type"": ""source_text"",
        ""content"": ""- Facilitates  human understanding and communication. The technique should be able to represent the process in a form that most customers and developers can understand, encouraging communication about the process and agreement on its form and improvements. The technique should include sufficient information to allow one or more people to actually perform the process.And the model or tool should form a basis for training."",
        ""img_id"": null
      },
      {
        ""type"": ""source_text"",
        ""content"": ""- Supports process improvement. The technique should identify the essential components of a development or maintenance process. It should allow reuse of processes or  subprocesses  on  subsequent  projects, compare  alternatives, and  estimate  the impact of changes before the process is actually put into practice. Similarly, the technique should assist in selecting tools and techniques for the process, in encouraging organizational learning, and in supporting continuing evolution of the process."",
        ""img_id"": null
      },
      {
        ""type"": ""source_text"",
        ""content"": ""- Supports  process  management. The  technique  should  allow  the  process  to  be project-specific. Then, developers and customers should be able to reason about attributes of software creation or evolution. The technique should also support planning and forecasting, monitoring and managing the process, and measuring key process characteristics."",
        ""img_id"": null
      },
      {
        ""type"": ""source_text"",
        ""content"": ""- Provides automated guidance in performing the process. The technique should define all or part of the software development environment, provide guidance and suggestions, and retain reusable process representations for later use."",
        ""img_id"": null
      },
      {
        ""type"": ""source_text"",
        ""content"": ""- Supports automated process execution. The technique should automate all or part of  the  process, support  cooperative work, capture relevant measurement data, and enforce rules to ensure process integrity."",
        ""img_id"": null
      }
    ],
    ""type"": null
  },
  {
    ""role"": ""paragraph"",
    ""segment"": ""Evaluation example: use a tool that checks a set of code components, evaluating their size and structure, to illustrate how these properties can be applied in practice. Such a tool aligns with the notion of automated guidance and automated process execution by providing concrete checks and gateways (e.g., size/structure limits) before further steps like testing, review, or redesign."",
    ""citations"": [
      {
        ""type"": ""source_text"",
        ""content"": ""For example, a tool can check a set of code components, evaluating their size and structure."",
        ""img_id"": null
      }
    ]
  }
]","Curtis, Kellner, and Over identify five desirable properties of process modeling tools and techniques: Facilitates human understanding and communication; Supports process improvement; Supports process management; Provides automated guidance in performing the process; Supports automated process execution.

Evaluation example: use a tool that checks a set of code components, evaluating their size and structure, to illustrate how these properties can be applied in practice. Such a tool aligns with the notion of automated guidance and automated process execution by providing concrete checks and gateways (e.g., size/structure limits) before further steps like testing, review, or redesign.",0.42,9.52
Explain the difference between prescriptive and descriptive process models. What is the purpose for each? When is it appropriate to use each?,,"[
    {
        ""role"": ""paragraph"",
        ""segment"": ""The chatbot can't answer this question. Please try again with another question."",
        ""citations"": [],
        ""type"": ""abstained""
    }
]",The chatbot can't answer this question. Please try again with another question.,0.705,3.977
